time(100ns);time_stamp(ms);time(UnityVideoPlayer);frame;eye_valid_L;eye_valid_R;openness_L;openness_R;pupil_diameter_L(mm);pupil_diameter_R(mm);pos_sensor_L.x;pos_sensor_L.y;pos_sensor_R.x;pos_sensor_R.y;gaze_origin_L.x(mm);gaze_origin_L.y(mm);gaze_origin_L.z(mm);gaze_origin_R.x(mm);gaze_origin_R.y(mm);gaze_origin_R.z(mm);gaze_direct_L.x;gaze_direct_L.y;gaze_direct_L.z;gaze_direct_R.x;gaze_direct_R.y;gaze_direct_R.z;gaze_sensitive;frown_L;frown_R;squeeze_L;squeeze_R;wide_L;wide_R;distance_valid_C;distance_C(mm);track_imp_cnt;helmet_pos_x;helmet_pos_y;helmet_pos_z;helmet_rot_x;helmet_rot_y;helmet_rot_z
638342794000115346;-1512415845;12.81;88129;31;31;0.8949015;0.9409313;3.564835;3.765228;0.3454858;0.6115847;0.3995579;0.6328934;39.06778;2.359802;-38.02184;-30.66084;1.092102;-35.63791;0.1235046;-0.1205444;0.9849854;0.1165009;-0.1235504;0.9854736;0.007;0;0;0;0;0;0;False;0;0;0.9747;1.1780;0.5525;4.7372;356.6699;3.5376
638342794000195116;-1512415837;0.00;88130;31;31;0.8949015;0.9409313;3.507813;3.765228;0.3455297;0.6113215;0.3993221;0.6328636;39.07115;2.341248;-37.9012;-30.6644;1.105637;-35.67029;0.123764;-0.1233673;0.9846039;0.1187134;-0.124115;0.9851227;0.007;0;0;0;0;0;0;False;0;0;0.9745;1.1783;0.5531;4.7404;356.6444;3.5416
638342794000284871;-1512415828;0.00;88131;31;31;0.9071345;0.9601214;3.562195;3.764694;0.3455735;0.6110583;0.3995579;0.6328934;39.07452;2.322708;-37.78056;-30.66795;1.119171;-35.70267;0.1230927;-0.1256409;0.9844055;0.1178131;-0.1252289;0.9850922;0.007;0;0;0;0;0;0;False;0;0;0.9745;1.1783;0.5531;4.7404;356.6444;3.5416
638342794000384607;-1512415820;0.00;88132;31;31;0.9071345;0.9601214;3.557739;3.760788;0.3462177;0.6107894;0.3993221;0.6331633;39.07278;2.303131;-37.72263;-30.67235;1.144958;-35.78931;0.1195068;-0.1230927;0.9851685;0.1198578;-0.12677;0.9846497;0.007;0;0;0;0;0;0;False;0;0;0.9744;1.1785;0.5535;4.6833;356.6096;3.5008
638342794000464406;-1512415812;0.03;88133;31;31;0.9127757;0.9675784;3.514603;3.790756;0.3466359;0.6117321;0.3999338;0.6326948;39.06808;2.297928;-37.85733;-30.68088;1.169632;-35.92482;0.1169434;-0.1184387;0.9860382;0.1173553;-0.119812;0.9858246;0.007;0;0;0;0;0;0;False;0;0;0.9742;1.1788;0.5538;4.5910;356.5710;3.4725
638342794000534219;-1512415803;0.03;88134;31;31;0.9127757;0.9675784;3.521301;3.731659;0.3479424;0.6120393;0.399253;0.6331595;39.05867;2.277328;-37.86189;-30.69287;1.158447;-35.9236;0.1100311;-0.1149445;0.9872437;0.1242828;-0.1204376;0.9848938;0.007;0;0;0;0;0;0;False;0;0;0.9741;1.1791;0.5542;4.4848;356.5185;3.4425
638342794000614006;-1512415795;0.03;88135;31;31;0.9074338;0.9544906;3.541824;3.800034;0.3479882;0.6118652;0.4002605;0.6338969;39.05032;2.277557;-37.93347;-30.7057;1.162857;-35.97372;0.1112518;-0.1081696;0.9878845;0.1208649;-0.1222687;0.9851074;0.007;0;0;0;0;0;0;False;0;0;0.9738;1.1796;0.5546;4.3229;356.4799;3.4150
638342794000703775;-1512415787;0.03;88136;31;31;0.9080188;0.9547933;3.573929;3.678009;0.3481606;0.614811;0.4017955;0.6350958;39.02924;2.256866;-37.82162;-30.72673;1.198853;-36.13605;0.1156158;-0.131897;0.9844818;0.1139832;-0.1278381;0.9852142;0.007;0;0;0;0;0;0;False;0;0;0.9738;1.1796;0.5546;4.3229;356.4799;3.4150
638342794000783558;-1512415778;0.03;88137;31;31;0.905377;0.9791167;3.555191;3.724091;0.3479712;0.6157303;0.4024139;0.6359087;39.01515;2.245712;-37.86249;-30.74226;1.171692;-36.10561;0.1203918;-0.1323853;0.9838562;0.1141052;-0.1285706;0.9851074;0.007;0;0;0;0;0;0;False;0;0;0.9736;1.1800;0.5549;4.1884;356.4455;3.4065
638342794000873299;-1512415770;0.07;88138;31;31;0.905377;0.9791167;3.536789;3.706833;0.351135;0.6174791;0.4034752;0.6365201;39.00716;2.141113;-37.62819;-30.74835;1.146378;-36.06712;0.1016083;-0.13591;0.9854889;0.1086578;-0.1295471;0.9855957;0.007;0;0;0;0;0;0;False;0;0;0.9733;1.1805;0.5551;4.0205;356.3967;3.3882
638342794000953097;-1512415762;0.07;88139;31;31;0.9075505;0.9704518;3.56694;3.695236;0.3513792;0.6177118;0.4036971;0.6377379;39.006;2.110092;-37.60605;-30.7489;1.11412;-36.01825;0.1000519;-0.1309509;0.9863129;0.1074371;-0.133316;0.9852295;0.007;0;0;0;0;0;0;False;0;0;0.9729;1.1809;0.5556;3.8736;356.3485;3.3903
638342794001032873;-1512415753;0.07;88140;31;31;0.9075505;0.9704518;3.604263;3.697098;0.3500336;0.6198325;0.4023047;0.6376593;39.01085;2.022507;-37.45004;-30.74866;1.030731;-35.86865;0.1088562;-0.1349487;0.984848;0.1174164;-0.123764;0.9853363;0.007;0;0;0;0;0;0;False;0;0;0.9729;1.1809;0.5556;3.8736;356.3485;3.3903
638342794001112672;-1512415745;0.07;88141;31;31;0.9089196;0.9827946;3.582169;3.571899;0.350469;0.6215541;0.4021207;0.6398093;39.006;2.071762;-37.7253;-30.73613;1.182755;-36.46022;0.1048279;-0.1388702;0.9847412;0.1111755;-0.1316833;0.9850311;0.007;0;0;0;0;0;0;False;0;0;0.9725;1.1813;0.5556;3.7593;356.2228;3.3850
638342794001202419;-1512415737;0.10;88142;31;31;0.9089196;0.9827946;3.566711;3.704605;0.3516437;0.6214966;0.4028787;0.6432834;39.01357;2.014648;-37.73108;-30.7406;0.9696655;-35.93445;0.09457397;-0.1234283;0.9878235;0.1109161;-0.1406555;0.9838104;0.007;0;0;0;0;0;0;False;0;0;0.9721;1.1815;0.5558;3.6904;356.0415;3.3989
638342794001282210;-1512415728;0.10;88143;31;31;0.903537;0.9569899;3.599274;3.650726;0.3509296;0.625289;0.4030639;0.644698;39.01234;1.952164;-37.69554;-30.74242;0.8968201;-35.81673;0.09925842;-0.1363525;0.985672;0.1103516;-0.141449;0.9837646;0.007;0;0;0;0;0;0;False;0;0;0.9716;1.1816;0.5557;3.6551;355.8394;3.4294
638342794001371967;-1512415720;0.10;88144;31;31;0.903537;0.9569899;3.534546;3.643356;0.35361;0.6246704;0.4027032;0.6455689;39.00803;1.916367;-37.70859;-30.75021;0.8566589;-35.78177;0.08189392;-0.1223297;0.98909;0.1146851;-0.1400909;0.9834595;0.007;0;0;0;0;0;0;False;0;0;0.9716;1.1816;0.5557;3.6551;355.8394;3.4294
638342794001451769;-1512415712;0.10;88145;31;31;0.9128281;0.9619598;3.509445;3.574234;0.3519919;0.6275541;0.4034715;0.6485204;39.00476;1.912872;-37.78033;-30.74634;1.020493;-36.34337;0.09346008;-0.1362152;0.9862518;0.1047668;-0.1573944;0.9819489;0.007;0;0;0;0;0;0;False;0;0;0.9711;1.1818;0.5557;3.6645;355.5881;3.5156
638342794001531555;-1512415703;0.13;88146;31;31;0.9128281;0.9619598;3.602936;3.669724;0.3516021;0.6280545;0.4040143;0.6481184;38.99437;1.919937;-37.84975;-30.77774;0.8641663;-35.9257;0.0975647;-0.1355743;0.9859467;0.1118317;-0.1476135;0.9826965;0.007;0;0;0;0;0;0;False;0;0;0.9706;1.1819;0.5556;3.6470;355.3577;3.5673
638342794001611341;-1512415695;0.13;88147;31;31;0.9060384;0.9514646;3.567978;3.633301;0.3532769;0.6296674;0.4043543;0.6498671;38.96947;1.995468;-38.10938;-30.79427;0.8369446;-35.92722;0.09030151;-0.146698;0.9850464;0.1131897;-0.1524963;0.9817963;0.007;0;0;0;0;0;0;False;0;0;0.9701;1.1820;0.5554;3.6911;355.1269;3.6059
638342794001701101;-1512415687;0.13;88148;31;31;0.9060384;0.9514646;3.556931;3.687195;0.3547331;0.6285002;0.4060178;0.6510384;38.94293;2.069656;-38.32944;-30.81361;0.8143158;-35.93753;0.08572388;-0.1409454;0.9862823;0.1071472;-0.1536713;0.9822845;0.007;0;0;0;0;0;0;False;0;0;0.9701;1.1820;0.5554;3.6911;355.1269;3.6059
