time(100ns);time_stamp(ms);time(UnityVideoPlayer);frame;eye_valid_L;eye_valid_R;openness_L;openness_R;pupil_diameter_L(mm);pupil_diameter_R(mm);pos_sensor_L.x;pos_sensor_L.y;pos_sensor_R.x;pos_sensor_R.y;gaze_origin_L.x(mm);gaze_origin_L.y(mm);gaze_origin_L.z(mm);gaze_origin_R.x(mm);gaze_origin_R.y(mm);gaze_origin_R.z(mm);gaze_direct_L.x;gaze_direct_L.y;gaze_direct_L.z;gaze_direct_R.x;gaze_direct_R.y;gaze_direct_R.z;gaze_sensitive;frown_L;frown_R;squeeze_L;squeeze_R;wide_L;wide_R;distance_valid_C;distance_C(mm);track_imp_cnt;helmet_pos_x;helmet_pos_y;helmet_pos_z;helmet_rot_x;helmet_rot_y;helmet_rot_z
638355562396185407;668452614;11.04;99148;31;31;1;1;4.153931;4.354019;0.4526373;0.4931993;0.4438921;0.494501;36.51814;1.183411;-22.53203;-30.07301;-0.4131927;-18.28853;-0.05960083;-0.07202148;0.9956055;-0.0758667;-0.04771423;0.9959717;0.007;0;0;0;0;0.4456789;0.4456789;False;0;0;1.3030;1.2412;0.2666;2.0168;354.7720;355.1333
638355562396265186;668452622;0.00;99149;31;31;1;1;4.152451;4.354385;0.4526373;0.4931802;0.4438832;0.4944208;36.5199;1.183334;-22.5304;-30.07292;-0.4168243;-18.28104;-0.05992126;-0.07196045;0.9955902;-0.07580566;-0.04698181;0.9960022;0.007;0;0;0;0;0.4551517;0.4551517;False;0;0;1.3030;1.2412;0.2664;2.0031;354.7301;355.1379
638355562396344970;668452630;0.00;99150;31;31;1;1;4.152374;4.354477;0.4526373;0.4931802;0.4438832;0.494501;36.52002;1.182373;-22.52896;-30.07187;-0.4172363;-18.27808;-0.05995178;-0.07185364;0.9956055;-0.07600403;-0.04750061;0.9959717;0.007;0;0;0;0;0.4602355;0.4602355;False;0;0;1.3030;1.2412;0.2664;2.0031;354.7301;355.1379
638355562396434745;668452639;0.00;99151;31;31;1;1;4.152344;4.354492;0.4526373;0.4932933;0.4438832;0.494501;36.52153;1.182068;-22.52695;-30.07051;-0.4178009;-18.2738;-0.0602417;-0.0725708;0.9955292;-0.07623291;-0.04754639;0.9959412;0.007;0;0;0;0;0.4608739;0.4608739;False;0;0;1.3031;1.2413;0.2665;1.9904;354.6772;355.1155
638355562396514528;668452647;0.03;99152;31;31;1;1;4.151993;4.354813;0.4526792;0.4934689;0.4438832;0.494501;36.52266;1.180313;-22.51883;-30.06963;-0.4184875;-18.26852;-0.06072998;-0.07374573;0.9954224;-0.0763855;-0.04769897;0.9959259;0.007;0;0;0;0;0.4612165;0.4612165;False;0;0;1.3032;1.2413;0.2665;1.9848;354.6402;355.1060
638355562396604293;668452655;0.03;99153;31;31;1;1;4.14859;4.354355;0.4529047;0.4932933;0.4438832;0.4946585;36.52266;1.176788;-22.51306;-30.06921;-0.4210358;-18.26833;-0.0620575;-0.07229614;0.9954376;-0.07646179;-0.04815674;0.9958954;0.007;0;0;0;0;0.4675918;0.4675918;False;0;0;1.3032;1.2413;0.2665;1.9635;354.6113;355.1118
638355562396684079;668452664;0.03;99154;31;31;1;1;4.147491;4.34935;0.4529215;0.4934689;0.4438832;0.4947224;36.52266;1.172791;-22.50728;-30.06898;-0.4243011;-18.26109;-0.06214905;-0.07287598;0.9953918;-0.07650757;-0.04833984;0.9958954;0.007;0;0;0;0;0.4710132;0.4710132;False;0;0;1.3030;1.2414;0.2667;1.9662;354.5765;355.1224
638355562396763863;668452672;0.03;99155;31;31;1;1;4.149002;4.349945;0.4529215;0.4934689;0.4439993;0.4947224;36.52266;1.168793;-22.48227;-30.06667;-0.4289246;-18.25055;-0.06213379;-0.07341003;0.9953613;-0.07756042;-0.04801941;0.9958191;0.007;0;0;0;0;0.4711757;0.4711757;False;0;0;1.3030;1.2414;0.2667;1.9662;354.5765;355.1224
638355562396853623;668452680;0.03;99156;31;31;1;1;4.149475;4.35083;0.4529481;0.4935011;0.4440013;0.4947496;36.52266;1.164276;-22.47134;-30.06279;-0.4389191;-18.22078;-0.06230164;-0.07327271;0.9953613;-0.07820129;-0.04777527;0.9957886;0.007;0;0;0;0;0.4712629;0.4712629;False;0;0;1.3030;1.2415;0.2667;1.9595;354.5318;355.1219
638355562396933397;668452689;0.07;99157;31;31;1;1;4.149734;4.351776;0.4529481;0.493615;0.4440434;0.4947838;36.52266;1.158234;-22.45335;-30.06256;-0.4488373;-18.19034;-0.06228638;-0.07374573;0.9953156;-0.07839966;-0.04769897;0.9957733;0.007;0;0;0;0;0.4668499;0.4668499;False;0;0;1.3030;1.2415;0.2667;1.9582;354.4966;355.1275
