time(100ns);time_stamp(ms);time(UnityVideoPlayer);frame;eye_valid_L;eye_valid_R;openness_L;openness_R;pupil_diameter_L(mm);pupil_diameter_R(mm);pos_sensor_L.x;pos_sensor_L.y;pos_sensor_R.x;pos_sensor_R.y;gaze_origin_L.x(mm);gaze_origin_L.y(mm);gaze_origin_L.z(mm);gaze_origin_R.x(mm);gaze_origin_R.y(mm);gaze_origin_R.z(mm);gaze_direct_L.x;gaze_direct_L.y;gaze_direct_L.z;gaze_direct_R.x;gaze_direct_R.y;gaze_direct_R.z;gaze_sensitive;frown_L;frown_R;squeeze_L;squeeze_R;wide_L;wide_R;distance_valid_C;distance_C(mm);track_imp_cnt;helmet_pos_x;helmet_pos_y;helmet_pos_z;helmet_rot_x;helmet_rot_y;helmet_rot_z
638355570618566645;669274852;13.33;148159;31;31;1;1;4.302444;4.580902;0.3714217;0.428506;0.3583844;0.4438697;38.17867;3.683044;-25.22185;-28.55412;1.839966;-21.09581;0.1029205;-0.03956604;0.9938965;0.1269531;-0.0362854;0.9912415;0.007;0;0;0;0;0.4266721;0.4266721;False;0;0;1.3567;1.2751;0.2071;354.5952;214.6828;355.1809
638355570618646433;669274861;13.33;148160;31;31;1;1;4.28949;4.560471;0.370356;0.428663;0.3578785;0.4449383;38.19582;3.686142;-25.29535;-28.5378;1.807617;-21.05525;0.1057281;-0.03755188;0.9936829;0.1268463;-0.03843689;0.9911652;0.007;0;0;0;0;0.4249754;0.4249754;False;0;0;1.3567;1.2751;0.2071;354.5952;214.6828;355.1809
638355570618746162;669274869;0.00;148161;31;31;1;1;4.329697;4.542725;0.3705206;0.4298701;0.3577524;0.4441796;38.20648;3.649109;-25.23369;-28.45779;1.612411;-20.43416;0.1025543;-0.04052734;0.9938965;0.1173859;-0.02903748;0.9926605;0.007;0;0;0;0;0.4154769;0.4154769;False;0;0;1.3566;1.2747;0.2070;354.7287;214.7287;354.9539
638355570618825956;669274877;0.00;148162;31;31;1;1;4.32756;4.520721;0.3708651;0.4299645;0.3564126;0.4447839;38.21442;3.627563;-25.22913;-28.44557;1.556915;-20.30504;0.09895325;-0.03710938;0.9943848;0.1233215;-0.02864075;0.9919434;0.007;0;0;0;0;0.4103794;0.4103794;False;0;0;1.3566;1.2743;0.2069;354.8844;214.7397;354.7214
638355570618915702;669274886;0.00;148163;31;31;1;1;4.25975;4.523209;0.3690111;0.4312496;0.3562461;0.4446239;38.22522;3.640671;-25.35529;-28.46442;1.484985;-20.13289;0.1078339;-0.04147339;0.9933014;0.1284943;-0.02308655;0.9914246;0.007;0;0;0;0;0.4349852;0.4349852;False;0;0;1.3566;1.2743;0.2069;354.8844;214.7397;354.7214
638355570619005459;669274894;0.03;148164;31;31;1;1;4.280304;4.535065;0.3684858;0.4320086;0.3563101;0.4459018;38.23344;3.654236;-25.49205;-28.46561;1.480209;-20.14363;0.1084747;-0.04185486;0.9932098;0.1284332;-0.02865601;0.9913025;0.007;0;0;0;0;0.447386;0.447386;False;0;0;1.3567;1.2734;0.2065;355.2125;214.8037;354.3457
638355570619085272;669274902;0.03;148165;31;31;1;1;4.260971;4.573547;0.3690968;0.4323344;0.3564493;0.4454452;38.23767;3.660339;-25.56041;-28.46663;1.469986;-20.11385;0.1036987;-0.04185486;0.9937134;0.1283264;-0.02557373;0.991394;0.007;0;0;0;0;0.4487382;0.4487382;False;0;0;1.3566;1.2731;0.2064;355.3547;214.8292;354.1595
638355570619175006;669274911;0.03;148166;31;31;1;1;4.262939;4.536819;0.3690371;0.4320936;0.3568367;0.445814;38.24001;3.65799;-25.56752;-28.46677;1.466202;-20.0932;0.1035156;-0.03956604;0.9938354;0.1261139;-0.02810669;0.9916077;0.007;0;0;0;0;0.449464;0.449464;False;0;0;1.3568;1.2727;0.2060;355.4678;214.8738;354.0151
638355570619254794;669274919;0.03;148167;31;31;1;1;4.263992;4.574524;0.3689774;0.4322506;0.3564493;0.445659;38.24234;3.660339;-25.57462;-28.46663;1.462418;-20.07257;0.1033783;-0.0406189;0.9938049;0.1285858;-0.0272522;0.9913177;0.007;0;0;0;0;0.4611852;0.4611852;False;0;0;1.3568;1.2727;0.2060;355.4678;214.8738;354.0151
638355570619334632;669274927;0.07;148168;31;31;1;1;4.290726;4.538254;0.3680045;0.4321202;0.3562911;0.4455521;38.25822;3.668793;-25.6424;-28.46095;1.461594;-20.06013;0.1055603;-0.03800964;0.9936829;0.1282806;-0.02728271;0.9913483;0.007;0;0;0;0;0.4674757;0.4674757;False;0;0;1.3570;1.2724;0.2058;355.5704;214.9068;353.9084
638355570619404452;669274936;0.07;148169;31;31;1;1;4.290466;4.550735;0.3675568;0.4316724;0.3561329;0.4454452;38.2702;3.672134;-25.69298;-28.45528;1.46077;-20.0477;0.1056061;-0.03355408;0.9938354;0.1283417;-0.02708435;0.9913483;0.007;0;0;0;0;0.4616399;0.4616399;False;0;0;1.3573;1.2722;0.2056;355.6390;214.9497;353.8284
638355570619484238;669274944;0.07;148170;31;31;1;1;4.24852;4.534943;0.3682826;0.4326485;0.3558515;0.4449948;38.27571;3.644241;-25.63576;-28.44978;1.456772;-20.02821;0.1006927;-0.03707886;0.9942169;0.1289368;-0.02485657;0.991333;0.007;0;0;0;0;0.458508;0.458508;False;0;0;1.3573;1.2722;0.2056;355.6390;214.9497;353.8284
638355570619564021;669274952;0.07;148171;31;31;1;1;4.264938;4.535126;0.3676621;0.4330574;0.3555702;0.4445444;38.2735;3.610214;-25.56743;-28.44431;1.452759;-20.00874;0.1050873;-0.03613281;0.9938049;0.1296387;-0.02264404;0.9912872;0.007;0;0;0;0;0.4600848;0.4600848;False;0;0;1.3576;1.2718;0.2054;355.7000;214.9765;353.7693
638355570619653783;669274961;0.10;148172;31;31;1;1;4.252563;4.526581;0.3670692;0.4331294;0.3555498;0.444908;38.27249;3.578644;-25.48332;-28.43861;1.447433;-20.01361;0.1093903;-0.0345459;0.9933929;0.1286926;-0.02351379;0.991394;0.007;0;0;0;0;0.460931;0.460931;False;0;0;1.3579;1.2716;0.2052;355.7521;215.0305;353.7344
638355570619733556;669274969;0.10;148173;31;31;1;1;4.266998;4.519287;0.3672163;0.4332097;0.3555294;0.4445444;38.27005;3.56839;-25.46078;-28.43292;1.442108;-20.01849;0.109024;-0.03399658;0.993454;0.1277618;-0.02052307;0.9915771;0.007;0;0;0;0;0.4577453;0.4577453;False;0;0;1.3582;1.2713;0.2051;355.8149;215.0571;353.6992
638355570619813355;669274977;0.10;148174;31;31;1;1;4.254623;4.514206;0.3673633;0.4332899;0.3555498;0.4448544;38.26762;3.558151;-25.43825;-28.4386;1.438721;-20.0331;0.1088257;-0.03364563;0.9934845;0.128479;-0.02095032;0.9914856;0.007;0;0;0;0;0.4560356;0.4560356;False;0;0;1.3582;1.2713;0.2051;355.8149;215.0571;353.6992
