time(100ns);time_stamp(ms);time(UnityVideoPlayer);frame;eye_valid_L;eye_valid_R;openness_L;openness_R;pupil_diameter_L(mm);pupil_diameter_R(mm);pos_sensor_L.x;pos_sensor_L.y;pos_sensor_R.x;pos_sensor_R.y;gaze_origin_L.x(mm);gaze_origin_L.y(mm);gaze_origin_L.z(mm);gaze_origin_R.x(mm);gaze_origin_R.y(mm);gaze_origin_R.z(mm);gaze_direct_L.x;gaze_direct_L.y;gaze_direct_L.z;gaze_direct_R.x;gaze_direct_R.y;gaze_direct_R.z;gaze_sensitive;frown_L;frown_R;squeeze_L;squeeze_R;wide_L;wide_R;distance_valid_C;distance_C(mm);track_imp_cnt;helmet_pos_x;helmet_pos_y;helmet_pos_z;helmet_rot_x;helmet_rot_y;helmet_rot_z
638415374735475215;-1523730307;13.33;416227;8;8;0.6888701;0.3941391;-1;-1;-1;-1;-1;-1;28.88322;-7.05452;-34.89465;-30.18059;-8.080719;-35.3093;0;0;0;0;0;0;0.007;0;0;0;0;0;0;False;0;1;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
638415374735577703;-1523730299;0.00;416228;25;8;0.6929016;0.2330271;-1;-1;0.7277651;0.8607053;-1;-1;28.64772;-7.249603;-35.51585;-30.18059;-8.080719;-35.3093;0;0;0;0;0;0;0.007;0;0;0;0;0;0;False;0;1;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
638415374735677433;-1523730290;0.00;416229;31;8;0.6929016;0.2330271;5.81456;-1;0.6809434;0.883925;-1;-1;28.88493;-7.050217;-34.89276;-30.18059;-8.080719;-35.3093;-0.2749634;0.2736664;0.9216766;0;0;0;0.007;0;0;0;0;0;0;False;0;1;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
638415374735757220;-1523730282;0.03;416230;31;8;0.6793176;0.2779894;6.399918;-1;0.705606;0.901065;-1;-1;28.89774;-7.070511;-34.89815;-30.18059;-8.080719;-35.3093;-0.3905945;0.2322083;0.8907776;0;0;0;0.007;0;0;0;0;0;0;False;0;1;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
638415374735856952;-1523730274;0.03;416231;8;8;0.6793176;0.2779894;-1;-1;-1;-1;-1;-1;28.89774;-7.070511;-34.89815;-30.18059;-8.080719;-35.3093;0;0;0;0;0;0;0.007;0;0;0;0;0;0;False;0;1;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
638415374735936753;-1523730265;0.03;416232;25;31;0.6922362;0.2549946;-1;6.465958;0.7139003;0.8564056;0.5161723;0.930593;28.63269;-7.289276;-35.45477;-30.08659;-9.585403;-31.96979;0;0;0;-0.08601379;0.2378845;0.9674683;0.007;0;0;0;0;0;0;False;0;1;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
638415374736026501;-1523730257;0.03;416233;25;8;0.6922362;0.2549946;-1;-1;0.7222996;0.851474;-1;-1;28.93526;-6.886154;-35.50229;-30.08659;-9.585403;-31.96979;0;0;0;0;0;0;0.007;0;0;0;0;0;0;False;0;1;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
638415374736096323;-1523730249;0.07;416234;31;8;0.6888359;0.2658764;6.348206;-1;0.6788041;0.8616263;-1;-1;28.89241;-7.026474;-35.09767;-30.08659;-9.585403;-31.96979;-0.2706757;0.4086456;0.8716278;0;0;0;0.007;0;0;0;0;0;0;False;0;1;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
638415374736176108;-1523730240;0.07;416235;31;8;0.6888359;0.2658764;5.271118;-1;0.6827357;0.8951347;-1;-1;28.89253;-7.160324;-34.83633;-30.08659;-9.585403;-31.96979;-0.2816162;0.2249451;0.9327698;0;0;0;0.007;0;0;0;0;0;0;False;0;1;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
638415374736255893;-1523730232;0.07;416236;8;8;0.6516882;0.2646558;-1;-1;-1;-1;-1;-1;28.89253;-7.160324;-34.83633;-30.08659;-9.585403;-31.96979;0;0;0;0;0;0;0.007;0;0;0;0;0;0;False;0;1;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
638415374736335684;-1523730224;0.07;416237;31;8;0.6516882;0.2646558;7.516022;-1;0.7019362;0.9197055;-1;-1;28.63739;-7.631927;-34.84132;-30.08659;-9.585403;-31.96979;-0.4167938;0.1358643;0.8987732;0;0;0;0.007;0;0;0;0;0;0;False;0;1;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
638415374736415472;-1523730215;0.07;416238;8;8;0.6475706;0.1832433;-1;-1;-1;-1;-1;-1;28.63739;-7.631927;-34.84132;-30.08659;-9.585403;-31.96979;0;0;0;0;0;0;0.007;0;0;0;0;0;0;False;0;1;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
638415374736495258;-1523730207;0.10;416239;8;8;0.6475706;0.1832433;-1;-1;-1;-1;-1;-1;28.63739;-7.631927;-34.84132;-30.08659;-9.585403;-31.96979;0;0;0;0;0;0;0.007;0;0;0;0;0;0;False;0;1;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
638415374736559652;-1523730199;0.10;416240;8;8;0.6334094;0.2253977;-1;-1;-1;-1;-1;-1;28.63739;-7.631927;-34.84132;-30.08659;-9.585403;-31.96979;0;0;0;0;0;0;0.007;0;0;0;0;0;0;False;0;1;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
638415374736669359;-1523730190;0.10;416241;31;8;0.6334094;0.2253977;7.347885;-1;0.6826279;0.9129993;-1;-1;28.59351;-7.638412;-34.76682;-30.08659;-9.585403;-31.96979;-0.2964172;0.1552582;0.9423523;0;0;0;0.007;0;0;0;0;0;0;False;0;1;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
638415374736739172;-1523730182;0.10;416242;31;8;0.669889;0.2297305;6.353439;-1;0.6840352;0.864388;-1;-1;28.91122;-7.057373;-35.1041;-30.08659;-9.585403;-31.96979;-0.3008118;0.4050293;0.8633881;0;0;0;0.007;0;0;0;0;0;0;False;0;1;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
638415374736838926;-1523730174;0.13;416243;31;8;0.669889;0.2297305;5.856155;-1;0.6788725;0.8897999;-1;-1;28.90541;-7.154785;-34.84869;-30.08659;-9.585403;-31.96979;-0.2654724;0.2665558;0.9265289;0;0;0;0.007;0;0;0;0;0;0;False;0;1;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
