time(100ns);time_stamp(ms);time(UnityVideoPlayer);frame;eye_valid_L;eye_valid_R;openness_L;openness_R;pupil_diameter_L(mm);pupil_diameter_R(mm);pos_sensor_L.x;pos_sensor_L.y;pos_sensor_R.x;pos_sensor_R.y;gaze_origin_L.x(mm);gaze_origin_L.y(mm);gaze_origin_L.z(mm);gaze_origin_R.x(mm);gaze_origin_R.y(mm);gaze_origin_R.z(mm);gaze_direct_L.x;gaze_direct_L.y;gaze_direct_L.z;gaze_direct_R.x;gaze_direct_R.y;gaze_direct_R.z;gaze_sensitive;frown_L;frown_R;squeeze_L;squeeze_R;wide_L;wide_R;distance_valid_C;distance_C(mm);track_imp_cnt;helmet_pos_x;helmet_pos_y;helmet_pos_z;helmet_rot_x;helmet_rot_y;helmet_rot_z
638417132422395341;92277270;0.00;138697;31;31;0.8297623;0.9737485;3.310913;3.282379;0.4559893;0.6067151;0.5031705;0.6839695;34.7466;2.334641;-38.56224;-31.68066;0.3243256;-38.75677;0.01768494;-0.03999329;0.9990387;0.07276917;-0.04571533;0.9962921;0.007;0;0;0;0;0;0;False;0;0;0.1835;1.2371;0.7177;9.5239;0.5273;359.1045
638417132422475127;92277278;0.00;138698;31;31;0.8194798;0.9921862;3.336243;3.314041;0.4557961;0.6088157;0.5027626;0.6824973;34.73949;2.307709;-38.53406;-31.68217;0.2863922;-38.68648;0.02029419;-0.04862976;0.9985962;0.07565308;-0.03417969;0.9965363;0.007;0;0;0;0;0;0;False;0;0;0.1835;1.2371;0.7177;9.5239;0.5273;359.1045
638417132422554916;92277287;0.00;138699;31;31;0.8194798;0.9921862;3.35878;3.344864;0.4564781;0.6095928;0.5030874;0.6827415;34.73849;2.312683;-38.63457;-31.67986;0.2448578;-38.61078;0.01586914;-0.04772949;0.9987335;0.07356262;-0.03158569;0.9967804;0.007;0;0;0;0;0;0;False;0;0;0.1835;1.2371;0.7177;9.5239;0.5273;359.1045
638417132422644672;92277295;0.00;138700;31;31;0.8383384;0.9825217;3.418365;3.347504;0.4569606;0.6110041;0.5027366;0.6842073;34.72664;2.271347;-38.59569;-31.67978;0.1566925;-38.40578;0.0151062;-0.04925537;0.9986572;0.07563782;-0.03477478;0.996521;0.007;0;0;0;0;0;0;False;0;0;0.1813;1.2345;0.7283;9.9922;0.4760;359.6412
638417132422724457;92277303;0.00;138701;31;31;0.8383384;0.9825217;3.376495;3.265289;0.4558338;0.6108507;0.5028267;0.683485;34.7225;2.295273;-38.75572;-31.68144;0.09742737;-38.28502;0.02334595;-0.04328918;0.9987793;0.07493591;-0.02705383;0.9968109;0.007;0;0;0;0;0;0;False;0;0;0.1813;1.2345;0.7283;9.9922;0.4760;359.6412
638417132422814221;92277312;0.03;138702;31;31;0.8432063;0.994838;3.4142;3.291824;0.4575549;0.612674;0.5035124;0.6857697;34.72018;2.359329;-38.97281;-31.68758;0.09741211;-38.35719;0.01234436;-0.0544281;0.9984283;0.07249451;-0.034729;0.9967499;0.007;0;0;0;0;0;0;False;0;0;0.1804;1.2332;0.7320;10.3182;0.4434;359.8977
638417132422894007;92277320;0.03;138703;31;31;0.8432063;0.994838;3.317017;3.266739;0.4576786;0.6114926;0.5036649;0.6842232;34.70567;2.269653;-38.65038;-31.69389;0.1058655;-38.37567;0.01599121;-0.04899597;0.9986572;0.07276917;-0.02696228;0.9969788;0.007;0;0;0;0;0;0;False;0;0;0.1797;1.2320;0.7355;10.6448;0.3985;0.1112
638417132422973785;92277328;0.03;138704;31;31;0.8529317;0.9534868;3.364288;3.262253;0.4580086;0.6108397;0.5036995;0.6837197;34.69069;2.204071;-38.34865;-31.70428;0.1338654;-38.43526;0.01742554;-0.04978943;0.9985962;0.07472229;-0.02613831;0.9968567;0.007;0;0;0;0;0;0;False;0;0;0.1797;1.2320;0.7355;10.6448;0.3985;0.1112
638417132423063552;92277337;0.03;138705;31;31;0.8529317;0.9534868;3.31398;3.332031;0.4581217;0.6086797;0.5038258;0.6838945;34.68047;2.199203;-38.25208;-31.71175;0.1862183;-38.60246;0.01963806;-0.04200745;0.9989166;0.07601929;-0.02642822;0.9967499;0.007;0;0;0;0;0;0;False;0;0;0.1789;1.2306;0.7390;11.0205;0.3944;0.3355
638417132423143337;92277345;0.07;138706;31;31;0.873286;0.9691943;3.245163;3.286118;0.4593556;0.6063057;0.5044883;0.6823109;34.67613;2.201904;-38.20065;-31.7178;0.2096558;-38.67511;0.01342773;-0.03178406;0.9993896;0.07318115;-0.01823425;0.9971466;0.007;0;0;0;0;0;0;False;0;0;0.1781;1.2291;0.7424;11.3999;0.3798;0.4769
