time(100ns);time_stamp(ms);time(UnityVideoPlayer);frame;eye_valid_L;eye_valid_R;openness_L;openness_R;pupil_diameter_L(mm);pupil_diameter_R(mm);pos_sensor_L.x;pos_sensor_L.y;pos_sensor_R.x;pos_sensor_R.y;gaze_origin_L.x(mm);gaze_origin_L.y(mm);gaze_origin_L.z(mm);gaze_origin_R.x(mm);gaze_origin_R.y(mm);gaze_origin_R.z(mm);gaze_direct_L.x;gaze_direct_L.y;gaze_direct_L.z;gaze_direct_R.x;gaze_direct_R.y;gaze_direct_R.z;gaze_sensitive;frown_L;frown_R;squeeze_L;squeeze_R;wide_L;wide_R;distance_valid_C;distance_C(mm);track_imp_cnt;helmet_pos_x;helmet_pos_y;helmet_pos_z;helmet_rot_x;helmet_rot_y;helmet_rot_z
638417144369931757;93472021;12.63;229867;31;31;1;1;3.536896;3.701874;0.4865577;0.6384109;0.542188;0.7973753;34.4099;0.9829712;-38.24788;-32.00372;-4.451523;-34.95857;-0.09661865;0.05136108;0.993988;-0.08392334;0.06646729;0.9942474;0.007;0;0;0;0;0.506627;0.506627;False;0;0;0.0810;1.1909;0.4740;12.0272;279.0212;6.3777
638417144370011524;93472029;0.00;229868;31;31;1;1;3.56839;3.680237;0.4835974;0.6393327;0.5362903;0.7958282;34.47415;0.8245544;-37.78798;-31.94434;-4.269684;-35.3158;-0.09320068;0.05038452;0.9943695;-0.0627594;0.06089783;0.9961548;0.007;0;0;0;0;0.5411566;0.5411566;False;0;0;0.0817;1.1906;0.4752;12.1324;279.4598;6.2813
638417144370121239;93472038;0.00;229869;31;31;1;1;3.527969;3.575836;0.4803072;0.6381609;0.5325461;0.793687;34.51555;0.9402008;-38.12511;-31.90436;-4.044891;-35.84383;-0.08143616;0.05389404;0.9952087;-0.05004883;0.06097412;0.9968719;0.007;0;0;0;0;0.5596878;0.5596878;False;0;0;0.0822;1.1902;0.4759;12.2517;279.8613;6.1885
638417144370201024;93472046;0.00;229870;31;31;1;1;3.480469;3.571289;0.4771864;0.6373896;0.5317098;0.7917139;34.56161;1.115204;-38.66429;-31.85115;-3.851471;-36.25241;-0.07191467;0.05508423;0.9958801;-0.05619812;0.06004333;0.9965973;0.007;0;0;0;0;0.5724236;0.5724236;False;0;0;0.0822;1.1902;0.4759;12.2517;279.8613;6.1885
638417144370280804;93472054;0.03;229871;31;31;1;1;3.582886;3.503769;0.4746098;0.6367425;0.5289606;0.7912012;34.60889;1.040649;-38.42549;-31.83762;-3.689301;-36.64885;-0.06733704;0.0605011;0.9958801;-0.0436554;0.05575562;0.9974823;0.007;0;0;0;0;0.5792586;0.5792586;False;0;0;0.0827;1.1898;0.4767;12.3985;280.2345;6.1008
638417144370370565;93472063;0.03;229872;31;31;1;1;3.526886;3.486374;0.4730411;0.6359957;0.5257905;0.7904587;34.64873;1.039825;-38.39612;-31.80687;-3.398056;-37.32123;-0.06611633;0.06291199;0.9958191;-0.0320282;0.04582214;0.9984283;0.007;0;0;0;0;0.5990959;0.5990959;False;0;0;0.0836;1.1891;0.4786;12.6257;280.9090;5.9266
638417144370460335;93472071;0.03;229873;31;31;1;1;3.527283;3.503159;0.4703561;0.6356072;0.5217694;0.7887098;34.68506;1.034531;-38.3175;-31.76973;-3.316208;-37.44716;-0.05751038;0.0609436;0.9964752;-0.01728821;0.04666138;0.9987488;0.007;0;0;0;0;0.6097421;0.6097421;False;0;0;0.0836;1.1891;0.4786;12.6257;280.9090;5.9266
638417144370530152;93472079;0.03;229874;31;31;1;1;3.536926;3.515427;0.4686246;0.6346826;0.5193105;0.7874069;34.70694;1.190308;-38.68121;-31.72911;-3.459946;-36.98029;-0.05181885;0.05593872;0.9970856;-0.01220703;0.05059814;0.998642;0.007;0;0;0;0;0.6543828;0.6543828;False;0;0;0.0838;1.1887;0.4787;12.7205;281.1863;5.8992
638417144370599977;93472088;0.07;229875;31;31;1;1;3.536987;3.510696;0.4677151;0.6336112;0.5182441;0.7849121;34.74576;1.254791;-38.81503;-31.68723;-3.432404;-36.96748;-0.05505371;0.05702209;0.9968414;-0.01507568;0.05715942;0.9982452;0.007;0;0;0;0;0.6783403;0.6783403;False;0;0;0.0842;1.1882;0.4791;12.7915;281.4529;5.8593
638417144370689714;93472096;0.07;229876;31;31;1;1;3.541168;3.524307;0.466457;0.6328417;0.5170867;0.7829745;34.76198;1.272797;-38.79706;-31.66344;-3.419327;-36.95917;-0.05085754;0.056427;0.9971008;-0.01350403;0.06422424;0.9978333;0.007;0;0;0;0;0.7127891;0.7127891;False;0;0;0.0842;1.1882;0.4791;12.7915;281.4529;5.8593
