Matricule;TrainingName;Date;Sequence;SequenceTime;CenterEyePosX;CenterEyePosY;CenterEyePosZ;CenterEyeRotX;CenterEyeRotY;CenterEyeRotZ;CenterEyeRotW;LeftHandPosX;LeftHandPosY;LeftHandPosZ;LeftHandRotX;LeftHandRotY;LeftHandRotZ;LeftHandRotW;RightHandPosX;RightHandPosY;RightHandPosZ;RightHandRotX;RightHandRotY;RightHandRotZ;RightHandRotW
08;Baseball Séquence 360;2025-05-27-14-59-08;1;5,38000011444092;-0,2574419;1,71062;0,5880953;-0,01868552;0,05871311;0,009422559;0,9980556;-0,4718212;0,8264256;0,6602489;0,4169744;0,1204379;-0,432851;0,7901058;-0,1363643;1,201731;0,7256422;0,1638799;0,1178159;-0,01624763;0,9792849
08;Baseball Séquence 360;2025-05-27-14-59-08;1;5,40000011399388;-0,2575144;1,7107;0,5880599;-0,01914473;0,05792344;0,009260836;0,9980945;-0,4720056;0,8262838;0,6596955;0,4175199;0,1201738;-0,432666;0,7899592;-0,1361397;1,201826;0,7255313;0,1637677;0,1177925;-0,01646023;0,9793029
08;Baseball Séquence 360;2025-05-27-14-59-08;1;5,42000011354685;-0,2576553;1,710818;0,5880239;-0,01960483;0,05592408;0,009570493;0,9981966;-0,4724405;0,8259328;0,658517;0,4182777;0,1198287;-0,4328675;0,7895002;-0,1357096;1,201808;0,7253818;0,1637452;0,1180253;-0,01685175;0,9792719
08;Baseball Séquence 360;2025-05-27-14-59-08;1;5,44000011309981;-0,2577353;1,710845;0,5879636;-0,01953386;0,05487747;0,009950254;0,9982525;-0,4726653;0,8258119;0,6579816;0,4187107;0,1195494;-0,4329527;0,7892663;-0,1354334;1,201659;0,7253388;0,1641182;0,1183696;-0,01722878;0,9791614
08;Baseball Séquence 360;2025-05-27-14-59-08;1;5,46000011265278;-0,2579219;1,710743;0,5879073;-0,01886015;0,05251333;0,01044396;0,9983875;-0,473088;0,8256755;0,6568924;0,4198364;0,1187701;-0,4326669;0,7889426;-0,1349809;1,201258;0,7252685;0,1652361;0,1190342;-0,01811768;0,9788768
08;Baseball Séquence 360;2025-05-27-14-59-08;1;5,48000011220574;-0,2580346;1,710618;0,5879089;-0,01842306;0,05110264;0,01057281;0,9984676;-0,473253;0,825665;0,6563337;0,4202163;0,118538;-0,4326673;0,788775;-0,1348926;1,201158;0,7252428;0,1654928;0,1190703;-0,01829298;0,9788257
08;Baseball Séquence 360;2025-05-27-14-59-08;1;5,50000011175871;-0,2581753;1,710488;0,5879133;-0,01787085;0,04974213;0,01060963;0,9985458;-0,473402;0,8256648;0,6558036;0,4204535;0,1184226;-0,4328436;0,7885693;-0,1348778;1,201142;0,7251861;0,165496;0,1189;-0,01831256;0,9788455
08;Baseball Séquence 360;2025-05-27-14-59-08;1;5,52000011131167;-0,2584555;1,71023;0,5879455;-0,01670607;0,04636812;0,01103154;0,9987239;-0,4737323;0,825636;0,6548767;0,4212826;0,118003;-0,4327931;0,7882172;-0,1348733;1,20135;0,7249873;0,1651817;0,1182519;-0,01857551;0,9789722
08;Baseball Séquence 360;2025-05-27-14-59-08;1;5,54000011086464;-0,2586876;1,710112;0,5879974;-0,01628823;0,04454601;0,01107003;0,9988133;-0,4738893;0,8256646;0,6544877;0,4217319;0,1175394;-0,432494;0,7882105;-0,1348923;1,201522;0,724847;0,1650114;0,1177633;-0,01890858;0,9790534
08;Baseball Séquence 360;2025-05-27-14-59-08;1;5,5600001104176;-0,2591066;1,709929;0,5880361;-0,01557838;0,04085639;0,01113226;0,9989816;-0,4741901;0,8257903;0,6538778;0,4220689;0,1165798;-0,4322813;0,7882892;-0,1351003;1,201825;0,7246174;0,1645152;0,116619;-0,01919365;0,9792683
08;Baseball Séquence 360;2025-05-27-14-59-08;1;5,58000010997057;-0,2592369;1,70984;0,588009;-0,01512024;0,03895527;0,01103476;0,9990656;-0,4743478;0,8258508;0,6536132;0,4221162;0,1160734;-0,4323858;0,7882814;-0,1352458;1,20203;0,7244892;0,164272;0,116099;-0,01926801;0,9793694
08;Baseball Séquence 360;2025-05-27-14-59-08;1;5,60000010952353;-0,259478;1,709623;0,5878702;-0,01392422;0,03555709;0,01098253;0,9992104;-0,474662;0,8259731;0,6530774;0,4226641;0,114874;-0,4320456;0,7883499;-0,1355391;1,202701;0,7242287;0,1641385;0,1149424;-0,02069221;0,9794992
08;Baseball Séquence 360;2025-05-27-14-59-08;1;5,6200001090765;-0,2595999;1,709503;0,5877479;-0,01329098;0,03402081;0,01084459;0,9992739;-0,4747986;0,8260577;0,6528208;0,4228526;0,1142579;-0,4317759;0,7884862;-0,1357065;1,203103;0,7241452;0,1637998;0,1142064;-0,02175287;0,979619
08;Baseball Séquence 360;2025-05-27-14-59-08;1;5,64000010862947;-0,2597591;1,709404;0,5875672;-0,01280988;0,03232405;0,01084252;0,9993366;-0,4749036;0,8261359;0,6525881;0,4230492;0,1137747;-0,4315993;0,7885472;-0,1358804;1,203403;0,724094;0,1633378;0,1135195;-0,02216087;0,9797668
08;Baseball Séquence 360;2025-05-27-14-59-08;1;5,66000010818243;-0,2600154;1,709316;0,5872354;-0,01228518;0,02894657;0,01094157;0,9994456;-0,4750322;0,8263035;0,6522458;0,4232901;0,1129759;-0,4314755;0,7886006;-0,1361009;1,203806;0,7240168;0,1625954;0,1127816;-0,02214564;0,9799758
