Matricule;TrainingName;Date;Sequence;SequenceTime;CenterEyePosX;CenterEyePosY;CenterEyePosZ;CenterEyeRotX;CenterEyeRotY;CenterEyeRotZ;CenterEyeRotW;LeftHandPosX;LeftHandPosY;LeftHandPosZ;LeftHandRotX;LeftHandRotY;LeftHandRotZ;LeftHandRotW;RightHandPosX;RightHandPosY;RightHandPosZ;RightHandRotX;RightHandRotY;RightHandRotZ;RightHandRotW
08;Baseball Séquence 2D;2025-05-27-14-50-36;1;5,36999988555908;0,07646523;1,692499;0,8391284;-0,01852862;-0,2380565;-0,03234194;0,9705359;-0,01503667;1,057516;0,9287598;0,387598;-0,1123349;0,04242405;0,9139742;0,1102834;1,197991;0,9726786;-0,1218713;0,0963411;-0,05381382;-0,9863924
08;Baseball Séquence 2D;2025-05-27-14-50-36;1;5,38999988511205;0,07692717;1,692644;0,8390452;-0,01900398;-0,2376925;-0,03272163;0,9706032;-0,01496704;1,057593;0,9287237;0,3877008;-0,1123706;0,04236852;0,9139288;0,1106017;1,198192;0,9725939;-0,1219393;0,09605035;-0,0534103;-0,9864343
08;Baseball Séquence 2D;2025-05-27-14-50-36;1;5,40999988466501;0,07717158;1,692711;0,8390062;-0,0192995;-0,2374849;-0,03279264;0,9706458;-0,01498331;1,057642;0,9286801;0,3877191;-0,112418;0,04235223;0,913916;0,1108074;1,198301;0,972561;-0,1220493;0,09587657;-0,05300529;-0,9864594
08;Baseball Séquence 2D;2025-05-27-14-50-36;1;5,42999988421798;0,07772156;1,692838;0,8389666;-0,01972876;-0,2369304;-0,03303631;0,9707643;-0,01494976;1,057813;0,9286352;0,3875782;-0,1123907;0,04233953;0,9139796;0,1110997;1,198541;0,9724935;-0,1219449;0,0953753;-0,05241648;-0,9865524
08;Baseball Séquence 2D;2025-05-27-14-50-36;1;5,44999988377094;0,07798136;1,692868;0,8389182;-0,01971011;-0,2364976;-0,0332788;0,970862;-0,01491037;1,057874;0,9286199;0,3875734;-0,1123456;0,04224692;0,9139916;0,1111918;1,198654;0,9724575;-0,1219586;0,09521604;-0,0521471;-0,9865804
08;Baseball Séquence 2D;2025-05-27-14-50-36;1;5,46999988332391;0,07867334;1,692673;0,8388587;-0,01918575;-0,2354495;-0,03363546;0,9711149;-0,01487872;1,057895;0,9285834;0,3877847;-0,1124796;0,04201812;0,913896;0,1114002;1,198921;0,9723128;-0,1217958;0,09526554;-0,0514656;-0,9866315
08;Baseball Séquence 2D;2025-05-27-14-50-36;1;5,48999988287687;0,07902406;1,692649;0,8388469;-0,01895293;-0,2349196;-0,03372363;0,9712447;-0,01483169;1,057917;0,9285624;0,3878809;-0,1125237;0,04194042;0,9138533;0,1115146;1,199061;0,9722188;-0,121632;0,0954394;-0,05131511;-0,9866427
08;Baseball Séquence 2D;2025-05-27-14-50-36;1;5,50999988242984;0,07940762;1,69264;0,8388277;-0,01874575;-0,234436;-0,03395369;0,9713575;-0,01474492;1,057957;0,9285417;0,3879036;-0,1124127;0,04173627;0,9138667;0,1116351;1,199212;0,9721131;-0,1214787;0,09544328;-0,05117961;-0,9866682
08;Baseball Séquence 2D;2025-05-27-14-50-36;1;5,5299998819828;0,08025128;1,692626;0,8388623;-0,01842231;-0,233123;-0,03475909;0,9716513;-0,01450038;1,058054;0,9284434;0,3878065;-0,1119534;0,04108056;0,913994;0,1120398;1,199623;0,9719458;-0,1211438;0,0949643;-0,05032788;-0,9867994
08;Baseball Séquence 2D;2025-05-27-14-50-36;1;5,54999988153577;0,0807644;1,692528;0,8389144;-0,01826687;-0,2323039;-0,0352505;0,9718326;-0,0143961;1,058084;0,9283786;0,3878168;-0,1117693;0,04083164;0,9140233;0,1122715;1,199827;0,9718934;-0,1210257;0,09468147;-0,04980675;-0,9868675
08;Baseball Séquence 2D;2025-05-27-14-50-36;1;5,56999988108873;0,08181301;1,692365;0,8389944;-0,01763392;-0,2305145;-0,03579579;0,9722505;-0,01408256;1,058213;0,9283306;0,3879156;-0,1113302;0,04050418;0,9140496;0,1126492;1,200201;0,971868;-0,1205907;0,09424625;-0,04916468;-0,9869946
08;Baseball Séquence 2D;2025-05-27-14-50-36;1;5,5899998806417;0,08232442;1,692323;0,8390399;-0,01729872;-0,2295021;-0,03610707;0,9724844;-0,01391997;1,058269;0,9283239;0,3879061;-0,1110558;0,04028742;0,9140965;0,1128192;1,200361;0,9718656;-0,1203101;0,09403649;-0,04894259;-0,98706
08;Baseball Séquence 2D;2025-05-27-14-50-36;1;5,60999988019466;0,08347916;1,692223;0,8391561;-0,01659239;-0,2270227;-0,03706251;0,9730425;-0,01356496;1,058413;0,9281853;0,3877996;-0,1105635;0,03967084;0,9142283;0,1132972;1,200685;0,9718384;-0,1200742;0,09348208;-0,04806885;-0,9871842
08;Baseball Séquence 2D;2025-05-27-14-50-36;1;5,62999987974763;0,08410741;1,692134;0,839267;-0,01619661;-0,2254156;-0,0374458;0,973408;-0,01344955;1,05849;0,9281708;0,3878657;-0,11045;0,03955955;0,9142188;0,1135998;1,200876;0,9718235;-0,1201166;0,09304315;-0,04731413;-0,987257
08;Baseball Séquence 2D;2025-05-27-14-50-36;1;5,64999987930059;0,08547047;1,691859;0,8395738;-0,01526593;-0,2219296;-0,03783412;0,9742088;-0,01324022;1,058641;0,9281309;0,3880033;-0,1103477;0,03965318;0,9141687;0,1140832;1,201186;0,9717726;-0,1200506;0,09222559;-0,04608132;-0,9874001
08;Baseball Séquence 2D;2025-05-27-14-50-36;1;5,66999987885356;0,08622174;1,691695;0,8396809;-0,01462142;-0,2198977;-0,03820344;0,9746649;-0,01312467;1,058704;0,9280859;0,3879893;-0,1102257;0,0395794;0,9141926;0,1142801;1,201244;0,9717335;-0,1198292;0,09199369;-0,04603038;-0,987451
08;Baseball Séquence 2D;2025-05-27-14-50-36;1;5,68999987840652;0,08700053;1,691598;0,8398226;-0,01380069;-0,2177768;-0,03854994;0,9751394;-0,01293481;1,0588;0,9280275;0,3879098;-0,1099575;0,03918885;0,9142755;0,1144888;1,201303;0,9716964;-0,1196212;0,09175661;-0,04600255;-0,9874995
08;Baseball Séquence 2D;2025-05-27-14-50-36;1;5,70999987795949;0,08866772;1,69127;0,8401292;-0,01238273;-0,2128355;-0,03920924;0,9762226;-0,01249066;1,059045;0,9279987;0,387575;-0,1092312;0,03796352;0,9145561;0,1150039;1,201471;0,9717388;-0,1192036;0,0908536;-0,04518877;-0,9876711
08;Baseball Séquence 2D;2025-05-27-14-50-36;1;5,72999987751245;0,0895743;1,69105;0,8402944;-0,01151452;-0,2102143;-0,03938765;0,9767938;-0,01237343;1,059086;0,9279746;0,387627;-0,1089777;0,03764915;0,9145774;0,1152501;1,201508;0,9717441;-0,1191631;0,09029114;-0,04467287;-0,987751
08;Baseball Séquence 2D;2025-05-27-14-50-36;1;5,74999987706542;0,09147571;1,69054;0,8406819;-0,009264195;-0,2041218;-0,04006923;0,9780812;-0,01217674;1,059188;0,9278905;0,3878348;-0,1086887;0,03754225;0,9145281;0,1156475;1,201497;0,9716387;-0,1196089;0,0898094;-0,04387844;-0,9877766
08;Baseball Séquence 2D;2025-05-27-14-50-36;1;5,76999987661839;0,09247619;1,690286;0,8408993;-0,00812703;-0,2007918;-0,04069808;0,9787545;-0,01202805;1,059276;0,9278481;0,3878505;-0,1084266;0,03731975;0,9145616;0,1158471;1,201558;0,9715276;-0,1195915;0,08967522;-0,04355804;-0,9878051
08;Baseball Séquence 2D;2025-05-27-14-50-36;1;5,78999987617135;0,09451777;1,68984;0,8413601;-0,005866394;-0,19346;-0,04179004;0,9802002;-0,01163304;1,059474;0,9276463;0,3877415;-0,1076909;0,03619736;0,9147398;0,1161812;1,201635;0,9713579;-0,1190969;0,08910394;-0,04348403;-0,9879199
08;Baseball Séquence 2D;2025-05-27-14-50-36;1;5,80999987572432;0,09553359;1,689661;0,8415362;-0,004848462;-0,1897015;-0,04184517;0,9809378;-0,01146789;1,059568;0,9275057;0,3877159;-0,1074481;0,03583913;0,9147934;0,1163757;1,201622;0,9713031;-0,1189388;0,08861297;-0,04341656;-0,987986
08;Baseball Séquence 2D;2025-05-27-14-50-36;1;5,82999987527728;0,09657873;1,68942;0,841727;-0,003885407;-0,1860728;-0,0421153;0,9816253;-0,01130211;1,059669;0,9273431;0,3876518;-0,1071655;0,03580862;0,9148549;0,1165456;1,201581;0,9712601;-0,1190806;0,0882079;-0,0431047;-0,9880188
08;Baseball Séquence 2D;2025-05-27-14-50-36;1;5,84999987483025;0,09845807;1,688841;0,8420722;-0,001936702;-0,1791391;-0,04251681;0,9829028;-0,01101545;1,059796;0,9271151;0,387569;-0,1064825;0,03547463;0,9149828;0,1168959;1,201573;0,9711882;-0,1199479;0,08766779;-0,04213354;-0,9880038
08;Baseball Séquence 2D;2025-05-27-14-50-36;1;5,86999987438321;0,09933248;1,688573;0,8422391;-0,0008875336;-0,1757537;-0,04276704;0,9835044;-0,010969;1,059781;0,9270167;0,3875999;-0,1063681;0,03516433;0,9149949;0,1171046;1,201717;0,9710692;-0,1199329;0,08733121;-0,0415966;-0,9880583
08;Baseball Séquence 2D;2025-05-27-14-50-36;1;5,88999987393618;0,1002105;1,688362;0,8423303;0,000133818;-0,1726021;-0,04289687;0,9840571;-0,01092179;1,059746;0,9268839;0,3876803;-0,1063243;0,0347135;0,9149832;0,1172906;1,201923;0,9709172;-0,1193568;0,08696318;-0,04126883;-0,9881742
08;Baseball Séquence 2D;2025-05-27-14-50-36;1;5,90999987348914;0,10176;1,688022;0,8424584;0,00171933;-0,1671519;-0,0431046;0,984987;-0,0107191;1,059709;0,9266745;0,3879054;-0,1060757;0,03423956;0,9149344;0,117555;1,202201;0,97063;-0,1180981;0,08666357;-0,0412337;-0,9883532
08;Baseball Séquence 2D;2025-05-27-14-50-36;1;5,92999987304211;0,1031277;1,687649;0,842459;0,003206206;-0,162928;-0,04337019;0,985679;-0,01046481;1,05963;0,9263394;0,3881454;-0,1056875;0,03390133;0,9148902;0,1178733;1,202211;0,9704387;-0,1186149;0,08651641;-0,04073672;-0,9883248
08;Baseball Séquence 2D;2025-05-27-14-50-36;1;5,94999987259507;0,1036342;1,687515;0,8424774;0,003695616;-0,1613172;-0,04353898;0,9859349;-0,01029269;1,059589;0,9261284;0,388211;-0,1054426;0,03363352;0,9149005;0,1180981;1,202238;0,9703091;-0,1189272;0,08617467;-0,04029667;-0,9883353
08;Baseball Séquence 2D;2025-05-27-14-50-36;1;5,96999987214804;0,1044821;1,687357;0,8423217;0,004329666;-0,159174;-0,04401421;0,9862594;-0,00979545;1,059628;0,925779;0,3883431;-0,1046367;0,03327344;0,9149501;0,1186113;1,202477;0,9700805;-0,1185574;0,08532066;-0,03964021;-0,9884803
08;Baseball Séquence 2D;2025-05-27-14-50-36;1;5,989999871701;0,1048078;1,687355;0,8422204;0,004380928;-0,1586878;-0,04417081;0,9863305;-0,009604461;1,059644;0,9256102;0,3883976;-0,1042105;0,03314698;0,9149802;0,1188743;1,202615;0,9699593;-0,1181456;0,08490312;-0,03929388;-0,9885793
08;Baseball Séquence 2D;2025-05-27-14-50-36;1;6,00999987125397;0,1050735;1,68732;0,8420336;0,00441006;-0,1583988;-0,04441677;0,9863658;-0,009387256;1,059647;0,925429;0,3884924;-0,1037705;0,03284955;0,9150007;0,119151;1,202728;0,9697984;-0,1179237;0,0845238;-0,03903004;-0,9886488
08;Baseball Séquence 2D;2025-05-27-14-50-36;1;6,02999987080693;0,1053635;1,687328;0,8415543;0,004547231;-0,1588229;-0,0449545;0,9862727;-0,0089465;1,059726;0,9251497;0,3885121;-0,1030846;0,03227006;0,9150904;0,1196047;1,202801;0,9695361;-0,1178687;0,08369288;-0,03859919;-0,9887429
08;Baseball Séquence 2D;2025-05-27-14-50-36;1;6,0499998703599;0,1054453;1,68731;0,8412814;0,004504154;-0,1594081;-0,04506156;0,9861736;-0,008743408;1,059783;0,9250332;0,3884878;-0,1027416;0,03213009;0,9151442;0,119789;1,202803;0,9694605;-0,1180052;0,08336434;-0,03841128;-0,9887617
08;Baseball Séquence 2D;2025-05-27-14-50-36;1;6,06999986991286;0,1054665;1,687406;0,8406628;0,004241431;-0,1610736;-0,04525076;0,9858954;-0,008416438;1,059901;0,9248089;0,3883896;-0,1019872;0,0317796;0,9152826;0,1202598;1,202893;0,9692135;-0,1184142;0,08257589;-0,03773816;-0,9888049
08;Baseball Séquence 2D;2025-05-27-14-50-36;1;6,08999986946583;0,1054264;1,687565;0,8403241;0,003935322;-0,162037;-0,04527992;0,9857374;-0,0082707;1,059957;0,9247249;0,3883534;-0,1016319;0,03161432;0,9153432;0,1204619;1,203013;0,9690586;-0,1182245;0,08237556;-0,03746748;-0,9888546
08;Baseball Séquence 2D;2025-05-27-14-50-36;1;6,10999986901879;0,1053022;1,687797;0,8395574;0,00314088;-0,1638695;-0,04505167;0,9854478;-0,008039482;1,060025;0,924661;0,3883125;-0,1012027;0,03135227;0,9154171;0,1208254;1,203245;0,9688339;-0,1175902;0,08201954;-0,03725563;-0,9889679
08;Baseball Séquence 2D;2025-05-27-14-50-36;1;6,12999986857176;0,1052648;1,687902;0,8391197;0,00279548;-0,1647905;-0,04469986;0,9853113;-0,007983284;1,06004;0,9247135;0,3882538;-0,1011545;0,03115863;0,915454;0,12101;1,203377;0,9687174;-0,1173495;0,08168325;-0,03707967;-0,9890309
08;Baseball Séquence 2D;2025-05-27-14-50-36;1;6,14999986812472;0,1051346;1,688067;0,8386862;0,002442589;-0,1656158;-0,0444492;0,9851851;-0,007916693;1,060067;0,9247634;0,3881784;-0,1011275;0,03099158;0,9154946;0,1212045;1,203544;0,9686096;-0,1172795;0,08135698;-0,03688952;-0,9890732
08;Baseball Séquence 2D;2025-05-27-14-50-36;1;6,16999986767769;0,1049957;1,688452;0,8377629;0,001201022;-0,1672703;-0,0437527;0,984939;-0,00779639;1,060259;0,9248524;0,3878497;-0,1010399;0,03084111;0,9156486;0,1215404;1,204133;0,9683915;-0,1170084;0,08090383;-0,03618503;-0,9891685
08;Baseball Séquence 2D;2025-05-27-14-50-36;1;6,18999986723065;0,1048905;1,688702;0,8372239;0,0004533734;-0,1679074;-0,04339925;0,9848469;-0,007746297;1,060414;0,9249116;0,3875618;-0,1009592;0,03075764;0,9157823;0,1216854;1,204616;0,9682646;-0,1165388;0,08079863;-0,03578527;-0,9892471
08;Baseball Séquence 2D;2025-05-27-14-50-36;1;6,20999986678362;0,1047329;1,689217;0,8360877;-0,001330409;-0,169065;-0,04290511;0,9846697;-0,007663252;1,060822;0,925117;0,3867431;-0,100992;0,03036174;0,9161379;0,1219727;1,205998;0,9679351;-0,1145508;0,0808389;-0,03524393;-0,9894954
08;Baseball Séquence 2D;2025-05-27-14-50-36;1;6,22999986633658;0,104657;1,689472;0,8354511;-0,002139591;-0,1694281;-0,04254498;0,9846215;-0,007601671;1,060977;0,9252216;0,3863993;-0,1010466;0,0302304;0,9162812;0,1221;1,206853;0,9677648;-0,1132023;0,08097386;-0,03504497;-0,9896466
08;Baseball Séquence 2D;2025-05-27-14-50-36;1;6,24999986588955;0,1044087;1,689936;0,8341104;-0,003524014;-0,1701304;-0,04128764;0,9845499;-0,007411341;1,061328;0,925482;0,3857008;-0,1009603;0,03056673;0,9165739;0,1222038;1,208577;0,9676616;-0,1104973;0,08141655;-0,03460737;-0,9899313
08;Baseball Séquence 2D;2025-05-27-14-50-36;1;6,26999986544251;0,104219;1,690223;0,8333489;-0,004212808;-0,1704113;-0,04056819;0,9845285;-0,007283553;1,061513;0,9256083;0,3853358;-0,100867;0,03084393;0,9167284;0,1222882;1,209355;0,9676623;-0,10914;0,08154089;-0,03445144;-0,9900771
08;Baseball Séquence 2D;2025-05-27-14-50-36;1;6,28999986499548;0,1038124;1,690779;0,831756;-0,005719322;-0,1710531;-0,03879713;0,9844811;-0,006924127;1,061845;0,9258589;0,3844169;-0,1007357;0,03109737;0,91712;0,1226452;1,210615;0,9677701;-0,1073255;0,08105731;-0,03448224;-0,9903141
08;Baseball Séquence 2D;2025-05-27-14-50-36;1;6,30999986454844;0,1035327;1,691083;0,830918;-0,006484872;-0,1715564;-0,03787182;0,9844248;-0,006658973;1,06196;0,9259914;0,3838961;-0,100706;0,03108156;0,9173418;0,1229196;1,211282;0,9678397;-0,106855;0,08047134;-0,03439631;-0,9904158
08;Baseball Séquence 2D;2025-05-27-14-50-36;1;6,32999986410141;0,1032521;1,691428;0,83003;-0,007417561;-0,1722273;-0,03682088;0,9843409;-0,006365797;1,062033;0,9260798;0,3835429;-0,1005659;0,0309553;0,9175092;0,1232131;1,212122;0,9678603;-0,1060302;0,07989305;-0,03425393;-0,9905561
08;Baseball Séquence 2D;2025-05-27-14-50-36;1;6,34999986365438;0,1023673;1,692128;0,8280921;-0,009237235;-0,1743115;-0,03476316;0,9840335;-0,005571452;1,062222;0,9262139;0,3825763;-0,09963855;0,03078361;0,9180196;0,1237126;1,213762;0,9677334;-0,1034941;0,0792703;-0,03405213;-0,9908813
08;Baseball Séquence 2D;2025-05-27-14-50-36;1;6,36999986320734;0,1017872;1,692449;0,8270413;-0,01000386;-0,1757365;-0,0337121;0,983809;-0,005074184;1,06235;0,9262363;0,3817699;-0,0989576;0,03061035;0,9184346;0,123967;1,214485;0,9676673;-0,1023785;0,07889736;-0,03406313;-0,9910265
08;Baseball Séquence 2D;2025-05-27-14-50-36;1;6,38999986276031;0,1002649;1,693193;0,8247049;-0,01203021;-0,1803635;-0,03049056;0,9830538;-0,004440106;1,062466;0,9261179;0,3809299;-0,09850449;0,03003113;0,9188511;0,124414;1,215676;0,9674018;-0,1008546;0,07796583;-0,03452381;-0,9912406
08;Baseball Séquence 2D;2025-05-27-14-50-36;1;6,40999986231327;0,09920291;1,693713;0,823404;-0,01346062;-0,1839417;-0,02845092;0,9824332;-0,00421231;1,062568;0,9259751;0,3806669;-0,09852771;0,03010811;0,9189551;0,1246507;1,216305;0,9671628;-0,1000311;0,07760794;-0,03474204;-0,9913445
08;Baseball Séquence 2D;2025-05-27-14-50-36;1;6,42999986186624;0,09637199;1,69477;0,8205452;-0,01668082;-0,1932342;-0,0259344;0,980668;-0,003617553;1,062909;0,9254761;0,3796509;-0,0978156;0,03083554;0,9194273;0,1251639;1,217503;0,9665597;-0,09816052;0,07692957;-0,03455155;-0,9915909
08;Baseball Séquence 2D;2025-05-27-14-50-36;1;6,4499998614192;0,09467008;1,695364;0,8190798;-0,0184038;-0,198332;-0,02536759;0,9796337;-0,003362523;1,063056;0,9250939;0,3791081;-0,09717306;0,03134362;0,9197022;0,1254426;1,217921;0,9662451;-0,09753111;0,0762935;-0,03431926;-0,9917102
08;Baseball Séquence 2D;2025-05-27-14-50-36;1;6,46999986097217;0,09288499;1,695884;0,8174716;-0,02017182;-0,2030123;-0,02485423;0,9786528;-0,003320467;1,063122;0,9246773;0,3788456;-0,09687359;0,03187003;0,9198238;0,125676;1,218124;0,9659789;-0,09720919;0,07548538;-0,03452392;-0,9917966
08;Baseball Séquence 2D;2025-05-27-14-50-36;1;6,48999986052513;0,08932424;1,696669;0,8141454;-0,02412919;-0,2124113;-0,02149769;0,9766458;-0,003734374;1,063113;0,9237406;0,3786693;-0,09678146;0,03279386;0,9198736;0,1258862;1,218108;0,9655566;-0,09789661;0,07432286;-0,03594889;-0,9917662
08;Baseball Séquence 2D;2025-05-27-14-50-36;1;6,5099998600781;0,08733859;1,696913;0,8124709;-0,02621221;-0,216657;-0,01931887;0,9757046;-0,004112917;1,063087;0,9231616;0,3784333;-0,09638077;0,0330829;0,9200025;0,1259608;1,218266;0,9652907;-0,09851859;0,07391078;-0,03613005;-0,9917287
08;Baseball Séquence 2D;2025-05-27-14-50-36;1;6,52999985963106;0,08291703;1,697057;0,8088051;-0,03114175;-0,224114;-0,0153788;0,9739439;-0,006063238;1,062966;0,9216242;0,3769195;-0,0946399;0,03383319;0,920777;0,1259819;1,21905;0,9644196;-0,09895566;0,07332054;-0,03690019;-0,9917007
08;Baseball Séquence 2D;2025-05-27-14-50-36;1;6,54999985918403;0,08044057;1,696688;0,8068739;-0,0341361;-0,227587;-0,01364174;0,9730636;-0,007202702;1,0629;0,9209522;0,3758897;-0,09376967;0,03418039;0,9212741;0,1259046;1,219777;0,96369;-0,09811742;0,07314221;-0,0382011;-0,9917479
08;Baseball Séquence 2D;2025-05-27-14-50-36;1;6,56999985873699;0,0748896;1,69585;0,8027812;-0,03810435;-0,2340526;-0,01027134;0,9714227;-0,01061617;1,062593;0,919925;0,3724741;-0,09206146;0,03384241;0,9228448;0,1253048;1,221998;0,9618434;-0,0932201;0,07308242;-0,04131015;-0,9921
08;Baseball Séquence 2D;2025-05-27-14-50-36;1;6,58999985828996;0,07173036;1,695796;0,8007048;-0,03936513;-0,2367956;-0,009323564;0,970717;-0,01286715;1,062261;0,9194361;0,3702996;-0,09183845;0,03328669;0,9237618;0,1246972;1,223142;0,9610077;-0,08985194;0,07312409;-0,0426635;-0,9923504
08;Baseball Séquence 2D;2025-05-27-14-50-36;1;6,60999985784292;0,06841797;1,69606;0,7985176;-0,04006679;-0,2391997;-0,008642663;0,9701049;-0,01589333;1,061704;0,9189051;0,3680484;-0,09255853;0,03237888;0,9246216;0,1237402;1,224345;0,9601945;-0,08612484;0,07290897;-0,04434737;-0,9926229
08;Baseball Séquence 2D;2025-05-27-14-50-36;1;6,62999985739589;0,0609313;1,696179;0,7938533;-0,04067963;-0,2431305;-0,00834838;0,9691042;-0,02192256;1,06043;0,9175689;0,3657869;-0,0946447;0,03049022;0,9253716;0,1204769;1,226778;0,9587227;-0,07811482;0,07281718;-0,05063241;-0,9929916
08;Baseball Séquence 2D;2025-05-27-14-50-36;1;6,64999985694885;0,05664476;1,696051;0,79138;-0,04017821;-0,2447653;-0,008456362;0,9687127;-0,02536024;1,059933;0,9167004;0,3653467;-0,09607938;0,03002587;0,9254129;0,1185431;1,228038;0,9580208;-0,0739496;0,07319287;-0,05481627;-0,9930606
08;Baseball Séquence 2D;2025-05-27-14-50-36;1;6,66999985650182;0,04742773;1,696394;0,7861807;-0,03811957;-0,2475754;-0,0091367;0,9680754;-0,03338996;1,060049;0,9142522;0,3660481;-0,09907115;0,03130826;0,9247775;0,1124841;1,232031;0,9565395;-0,06285562;0,07468495;-0,0651415;-0,9930901
08;Baseball Séquence 2D;2025-05-27-14-50-36;1;6,68999985605478;0,04255231;1,696667;0,7835857;-0,03796194;-0,2486063;-0,009474656;0,9678141;-0,03692469;1,060422;0,9130777;0,3659663;-0,09979701;0,03226313;0,924699;0,1090412;1,234771;0,9558082;-0,0565604;0,07464781;-0,06803885;-0,9932771
