Video Name	Timeline	Head Position. x	Head Position. y	Head Position. z	Head Rotation. x	Head Rotation. y	Head Rotation. z	Controller Right Position. x	Controller Right Position. y	Controller Right Position. z	Controller Right Rotation. x	Controller Right Rotation. y	Controller Right Rotation. z	Controller Left Position. x	Controller Left Position. y	Controller Left Position. z	Controller Left Rotation. x	Controller Left Rotation. y	Controller Left Rotation. z	Eye. x	Eye. y	Eye. z	Eye Left Blinking	Eye Right Blinking	Combine Eye Gaze Point. x	Combine Eye Gaze Point. y	Combine Eye Gaze Point. z	Combine Eye Gaze Vector. x	Combine Eye Gaze Vector. y	Combine Eye Gaze Vector. z	Left Eye Pose Status	Right Eye Pose Status	Left Eye Position Guide. x	Left Eye Position Guide. y	Left Eye Position Guide. z	Right Eye Position Guide. x	Right Eye Position Guide. y	Right Eye Position Guide. z	Foveated Gaze Direction. x	Foveated Gaze Direction. y	Foveated Gaze Direction. z	Foveated Gaze Tracking State
Boxe_EPreN4_2D_Testing_N1_S8_D	0	0.2326	1.5854	-0.4142	8.3722	358.8397	0.125	0.301	0.6906	-0.4182	61.9843	2.4948	0.7394	0.167	0.7195	-0.4153	54.1876	0.0281	296.4116	0.0156	0.1265	1.9558	True	True	0.0184	-0.0008	0.0244	-0.0002	0.0659	0.9978	52	52	0.6158	0.5106	0	0.6158	0.5106	0	0.0089	0.0657	-0.9978	0
Boxe_EPreN4_2D_Testing_N1_S8_D	0.02	0.2333	1.5852	-0.4158	8.3109	358.849	0.1129	0.3021	0.69	-0.4191	61.9603	2.5275	0.7834	0.168	0.7197	-0.4162	54.0957	0.1358	296.4549	0.0219	0.1356	1.9979	True	True	0.026	-0.001	0.0246	0.0022	0.0735	0.9973	52	52	0.6179	0.5102	0	0.6179	0.5102	0	0.0151	0.0734	-0.9972	0
Boxe_EPreN4_2D_Testing_N1_S8_D	0.04	0.2346	1.585	-0.4188	8.1792	358.8696	0.0797	0.3043	0.6892	-0.4207	61.9326	2.6885	0.8998	0.1693	0.7182	-0.4177	53.9258	0.2761	296.4734	0.0251	0.1589	2.0098	True	True	0.0307	-0.0011	0.0246	-0.0006	0.0923	0.9957	52	52	0.6159	0.5096	0	0.6159	0.5096	0	0.0146	0.0922	-0.9956	0
Boxe_EPreN4_2D_Testing_N1_S8_D	0.06	0.2353	1.5848	-0.4205	8.1027	358.8739	0.0628	0.3054	0.6884	-0.4215	61.9206	2.8212	1.0013	0.17	0.7184	-0.4184	53.8414	0.2939	296.4629	0.0288	0.1616	2.0149	True	True	0.0332	-0.0012	0.0247	0.0004	0.083	0.9966	52	52	0.6157	0.5115	0	0.6157	0.5115	0	0.0168	0.0828	-0.9964	0
Boxe_EPreN4_2D_Testing_N1_S8_D	0.08	0.2367	1.5846	-0.4235	7.957	358.8601	0.0164	0.3075	0.6869	-0.4229	61.9195	3.0585	1.1286	0.1713	0.7197	-0.4195	53.6647	0.4071	296.4592	0.0207	0.1806	2.0146	True	True	0.0337	-0.0012	0.0248	-0.0117	0.1009	0.9948	52	52	0.6178	0.5109	0	0.6178	0.5109	0	0.0049	0.1008	-0.9949	0
Boxe_EPreN4_2D_Testing_N1_S8_D	0.09999999	0.2374	1.5846	-0.425	7.8693	358.8541	359.993	0.3085	0.6875	-0.4236	61.9287	3.167	1.1675	0.1718	0.7202	-0.4199	53.5749	0.4736	296.489	0.0232	0.1766	2.016	True	True	0.0338	-0.0013	0.0243	-0.0037	0.0867	0.9962	52	52	0.6154	0.5145	0	0.6154	0.5145	0	0.013	0.0864	-0.9962	0
Boxe_EPreN4_2D_Testing_N1_S8_D	0.12	0.2388	1.5844	-0.4277	7.6722	358.8517	359.9493	0.3106	0.6874	-0.425	61.9298	3.326	1.2653	0.1723	0.7209	-0.4203	53.4245	0.5225	296.517	0.0215	0.1743	2.0165	True	True	0.0241	-0.0012	0.0242	-0.0025	0.0864	0.9963	52	52	0.6157	0.5173	0	0.6157	0.5173	0	0.0095	0.0862	-0.9962	0
Boxe_EPreN4_2D_Testing_N1_S8_D	0.14	0.2395	1.5844	-0.4291	7.5839	358.8593	359.9409	0.3113	0.6871	-0.4257	61.9449	3.4706	1.3526	0.1723	0.7206	-0.4207	53.3631	0.4821	296.5114	0.0239	0.161	2.0177	True	True	0.0129	-0.001	0.0238	0.0071	0.0727	0.9973	52	52	0.6151	0.5176	0	0.6151	0.5176	0	0.0136	0.0725	-0.9973	0
Boxe_EPreN4_2D_Testing_N1_S8_D	0.16	0.2408	1.5843	-0.4316	7.4413	358.8467	359.9509	0.3126	0.6865	-0.4265	61.9368	3.6939	1.4717	0.1729	0.7189	-0.4215	53.2462	0.3632	296.4738	0.0298	0.1523	2.018	True	True	0.0064	-0.001	0.0236	0.0158	0.071	0.9973	52	52	0.6163	0.5186	0	0.6163	0.5186	0	0.0191	0.0709	-0.9973	0
Boxe_EPreN4_2D_Testing_N1_S8_D	0.18	0.2415	1.5842	-0.4328	7.3916	358.8401	359.9506	0.3131	0.6863	-0.4267	61.9195	3.7423	1.4869	0.173	0.7169	-0.422	53.1835	0.2988	296.4314	0.0244	0.1538	2.0175	True	True	0.0016	-0.0009	0.0233	0.0078	0.0783	0.9969	52	52	0.6153	0.5188	0	0.6153	0.5188	0	0.0087	0.0782	-0.9969	0
Boxe_EPreN4_2D_Testing_N1_S8_D	0.2	0.2427	1.5842	-0.4349	7.297	358.8001	359.9086	0.3143	0.6865	-0.4273	61.8715	3.8031	1.5226	0.1737	0.716	-0.4228	53.102	0.1731	296.3701	0.0241	0.1465	2.0178	True	True	-0.0056	-0.0009	0.023	0.0146	0.0689	0.9975	52	52	0.614	0.5202	0	0.614	0.5202	0	0.0119	0.0688	-0.9976	0
