section id,recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [g],acceleration y [g],acceleration z [g],roll [deg],pitch [deg],yaw [deg],quaternion w,quaternion x,quaternion y,quaternion z
031a7384-d47f-4ae8-8f3a-ab0d7779a066,7a57dfdc-7075-487e-8974-3dfa23575253,1629309015134264740,1.707317,3.719512,-0.670732,-0.072021,-0.984863,0.004456,7.0495638570739345,89.58175730612493,,,,,
031a7384-d47f-4ae8-8f3a-ab0d7779a066,7a57dfdc-7075-487e-8974-3dfa23575253,1629309015139204740,1.829268,3.353659,-1.097561,-0.071411,-0.97876,-0.002014,7.097196123702645,89.16412843719763,,,,,
031a7384-d47f-4ae8-8f3a-ab0d7779a066,7a57dfdc-7075-487e-8974-3dfa23575253,1629309015144144740,1.52439,2.865854,-1.829268,-0.069885,-0.972473,-0.005188,7.141836823226583,88.74499179349306,,,,,
031a7384-d47f-4ae8-8f3a-ab0d7779a066,7a57dfdc-7075-487e-8974-3dfa23575253,1629309015149084740,0.792683,2.134146,-2.378049,-0.066895,-0.974182,-0.011902,7.1813578375726195,88.32219703012572,,,,,
031a7384-d47f-4ae8-8f3a-ab0d7779a066,7a57dfdc-7075-487e-8974-3dfa23575253,1629309015154024740,-0.060976,1.52439,-2.987805,-0.066895,-0.975403,-0.016174,7.21762803888214,87.89525288274069,,,,,
031a7384-d47f-4ae8-8f3a-ab0d7779a066,7a57dfdc-7075-487e-8974-3dfa23575253,1629309015158964740,-1.158537,0.792683,-3.719512,-0.064575,-0.980469,-0.022339,7.248855888494035,87.46289719787535,,,,,
031a7384-d47f-4ae8-8f3a-ab0d7779a066,7a57dfdc-7075-487e-8974-3dfa23575253,1629309015163904740,-2.195122,-0.060976,-4.512195,-0.060608,-0.979004,-0.024719,7.2738423901401745,87.02542152557282,,,,,
031a7384-d47f-4ae8-8f3a-ab0d7779a066,7a57dfdc-7075-487e-8974-3dfa23575253,1629309015168844740,-3.170732,-1.036585,-5.365854,-0.057007,-0.974426,-0.020447,7.292137233195092,86.58316869373903,,,,,
031a7384-d47f-4ae8-8f3a-ab0d7779a066,7a57dfdc-7075-487e-8974-3dfa23575253,1629309015173784740,-3.658537,-1.829268,-5.731708,-0.047424,-0.964417,-0.030457,7.302224232360658,86.13845866849783,,,,,
031a7384-d47f-4ae8-8f3a-ab0d7779a066,7a57dfdc-7075-487e-8974-3dfa23575253,1629309015178724740,-3.719512,-2.560976,-5.914634,-0.040161,-0.960144,-0.033691,7.305281263761287,85.6935010541722,,,,,
031a7384-d47f-4ae8-8f3a-ab0d7779a066,7a57dfdc-7075-487e-8974-3dfa23575253,1629309015183664740,-3.597561,-3.231707,-5.731708,-0.031982,-0.964966,-0.032349,7.301167065697371,85.24923701719649,,,,,
031a7384-d47f-4ae8-8f3a-ab0d7779a066,7a57dfdc-7075-487e-8974-3dfa23575253,1629309015188604740,-3.109756,-3.841464,-5.670732,-0.022705,-0.982361,-0.026855,7.289569687597833,84.8075122985166,,,,,
031a7384-d47f-4ae8-8f3a-ab0d7779a066,7a57dfdc-7075-487e-8974-3dfa23575253,1629309015193544740,-2.195122,-4.45122,-5.792683,-0.016296,-1.002441,-0.009521,7.271753126785029,84.37051592240971,,,,,
031a7384-d47f-4ae8-8f3a-ab0d7779a066,7a57dfdc-7075-487e-8974-3dfa23575253,1629309015198484740,-0.792683,-5.243903,-5.914634,-0.014404,-1.02002,0.002075,7.248849731797748,83.94071974179178,,,,,
031a7384-d47f-4ae8-8f3a-ab0d7779a066,7a57dfdc-7075-487e-8974-3dfa23575253,1629309015203424740,0.853659,-5.792683,-6.463415,-0.010559,-1.029114,0.005798,7.221109315580293,83.51932734557414,,,,,
031a7384-d47f-4ae8-8f3a-ab0d7779a066,7a57dfdc-7075-487e-8974-3dfa23575253,1629309015208364740,2.743902,-6.585366,-7.073171,-0.009766,-1.021667,0.00647,7.188635478747074,83.10757414909682,,,,,
031a7384-d47f-4ae8-8f3a-ab0d7779a066,7a57dfdc-7075-487e-8974-3dfa23575253,1629309015213304740,4.573171,-6.829268,-7.256098,-0.007812,-1.006165,-0.003723,7.153899616466703,82.70516990413842,,,,,
031a7384-d47f-4ae8-8f3a-ab0d7779a066,7a57dfdc-7075-487e-8974-3dfa23575253,1629309015218244740,6.402439,-6.768293,-6.890244,-0.003174,-0.99585,-0.010071,7.117553060808689,82.31212491714513,,,,,
031a7384-d47f-4ae8-8f3a-ab0d7779a066,7a57dfdc-7075-487e-8974-3dfa23575253,1629309015223184740,7.865854,-6.585366,-6.219512,-0.00415,-0.988281,-0.022583,7.082825299535273,81.92664655276292,,,,,
031a7384-d47f-4ae8-8f3a-ab0d7779a066,7a57dfdc-7075-487e-8974-3dfa23575253,1629309015228124740,9.085366,-6.036585,-5.121951,-0.004822,-0.982361,-0.030212,7.051716856925225,81.54753341670323,,,,,
031a7384-d47f-4ae8-8f3a-ab0d7779a066,7a57dfdc-7075-487e-8974-3dfa23575253,1629309015233064740,9.756098,-5.609756,-4.085366,-0.007324,-0.977173,-0.036926,7.024451541482335,81.17207913732597,,,,,
031a7384-d47f-4ae8-8f3a-ab0d7779a066,7a57dfdc-7075-487e-8974-3dfa23575253,1629309015238004740,9.939025,-5.0,-3.414634,-0.011658,-0.980774,-0.039734,7.002466135098189,80.79788901106002,,,,,
031a7384-d47f-4ae8-8f3a-ab0d7779a066,7a57dfdc-7075-487e-8974-3dfa23575253,1629309015242944740,10.121951,-4.268293,-3.414634,-0.016785,-0.982727,-0.046997,6.986183039628401,80.42497866920559,,,,,
031a7384-d47f-4ae8-8f3a-ab0d7779a066,7a57dfdc-7075-487e-8974-3dfa23575253,1629309015247884740,9.939025,-3.780488,-3.353659,-0.009888,-0.9776,-0.051453,6.9692892928758,80.05148005456715,,,,,
031a7384-d47f-4ae8-8f3a-ab0d7779a066,7a57dfdc-7075-487e-8974-3dfa23575253,1629309015252824740,9.268292,-3.04878,-3.109756,-0.008179,-0.972473,-0.054932,6.955367244019044,79.67502735021287,,,,,
031a7384-d47f-4ae8-8f3a-ab0d7779a066,7a57dfdc-7075-487e-8974-3dfa23575253,1629309015257764740,8.414635,-2.378049,-2.743902,-0.009644,-0.975708,-0.055786,6.945587792062923,79.29474293302934,,,,,
031a7384-d47f-4ae8-8f3a-ab0d7779a066,7a57dfdc-7075-487e-8974-3dfa23575253,1629309015262704740,7.378049,-1.829268,-2.439024,-0.013062,-0.976807,-0.053833,6.940173529291513,78.90975017050584,,,,,
031a7384-d47f-4ae8-8f3a-ab0d7779a066,7a57dfdc-7075-487e-8974-3dfa23575253,1629309015267644740,6.52439,-1.52439,-2.256098,-0.018982,-0.975403,-0.048706,6.938946378700365,78.52099479837136,,,,,
031a7384-d47f-4ae8-8f3a-ab0d7779a066,7a57dfdc-7075-487e-8974-3dfa23575253,1629309015272584740,5.670732,-1.097561,-2.378049,-0.015259,-0.981873,-0.0448,6.937944053514798,78.12842192762969,,,,,
031a7384-d47f-4ae8-8f3a-ab0d7779a066,7a57dfdc-7075-487e-8974-3dfa23575253,1629309015277524740,5.0,-1.036585,-2.682927,-0.013184,-0.993408,-0.041748,6.935895897648209,77.73296358903349,,,,,
031a7384-d47f-4ae8-8f3a-ab0d7779a066,7a57dfdc-7075-487e-8974-3dfa23575253,1629309015282464740,4.573171,-0.97561,-3.170732,-0.01532,-1.001404,-0.035095,6.934422171466906,77.33586903073495,,,,,
031a7384-d47f-4ae8-8f3a-ab0d7779a066,7a57dfdc-7075-487e-8974-3dfa23575253,1629309015287404740,4.02439,-1.097561,-3.597561,-0.015686,-1.00708,-0.035339,6.931918561783476,76.93652639880202,,,,,
031a7384-d47f-4ae8-8f3a-ab0d7779a066,7a57dfdc-7075-487e-8974-3dfa23575253,1629309015292344740,3.414634,-1.097561,-3.902439,-0.016479,-1.013,-0.030945,6.929270472650018,76.5346571375872,,,,,
031a7384-d47f-4ae8-8f3a-ab0d7779a066,7a57dfdc-7075-487e-8974-3dfa23575253,1629309015297284740,3.109756,-1.219512,-4.756098,-0.020386,-1.0224,-0.023254,6.926515439526469,76.13181199724158,,,,,
031a7384-d47f-4ae8-8f3a-ab0d7779a066,7a57dfdc-7075-487e-8974-3dfa23575253,1629309015302224740,2.987805,-1.341463,-5.609756,-0.020874,-1.022888,-0.02124,6.922218939742777,75.72887043082491,,,,,
031a7384-d47f-4ae8-8f3a-ab0d7779a066,7a57dfdc-7075-487e-8974-3dfa23575253,1629309015307164740,2.987805,-1.585366,-6.097561,-0.022766,-1.020935,-0.02179,6.916801189879578,75.32644872897987,,,,,
031a7384-d47f-4ae8-8f3a-ab0d7779a066,7a57dfdc-7075-487e-8974-3dfa23575253,1629309015312104740,2.926829,-1.646341,-6.158537,-0.022339,-1.019043,-0.023132,6.910676951586254,74.92422879087616,,,,,
031a7384-d47f-4ae8-8f3a-ab0d7779a066,7a57dfdc-7075-487e-8974-3dfa23575253,1629309015317044740,2.804878,-1.52439,-5.853659,-0.018494,-1.01593,-0.024292,6.903763212534443,74.52188742481744,,,,,
031a7384-d47f-4ae8-8f3a-ab0d7779a066,7a57dfdc-7075-487e-8974-3dfa23575253,1629309015321984740,2.5,-1.280488,-5.243903,-0.014893,-1.008972,-0.029419,6.897173714527781,74.11852251956711,,,,,
031a7384-d47f-4ae8-8f3a-ab0d7779a066,7a57dfdc-7075-487e-8974-3dfa23575253,1629309015326924740,2.195122,-1.158537,-4.695122,-0.016235,-1.002869,-0.032471,6.892373096700453,73.71417859938072,,,,,
031a7384-d47f-4ae8-8f3a-ab0d7779a066,7a57dfdc-7075-487e-8974-3dfa23575253,1629309015331864740,1.585366,-0.853659,-4.085366,-0.020325,-1.000427,-0.034668,6.891499631265333,73.3073813603306,,,,,
031a7384-d47f-4ae8-8f3a-ab0d7779a066,7a57dfdc-7075-487e-8974-3dfa23575253,1629309015336804740,0.97561,-0.609756,-3.719512,-0.023804,-0.99884,-0.038147,6.893675853254905,72.89813723871993,,,,,
031a7384-d47f-4ae8-8f3a-ab0d7779a066,7a57dfdc-7075-487e-8974-3dfa23575253,1629309015341744740,-0.0,-0.609756,-3.170732,-0.017883,-1.002258,-0.039551,6.893981572051814,72.48457214932665,,,,,
031a7384-d47f-4ae8-8f3a-ab0d7779a066,7a57dfdc-7075-487e-8974-3dfa23575253,1629309015346684740,-0.670732,-0.792683,-2.926829,-0.020996,-1.007751,-0.042969,6.89496986995124,72.06827226422283,,,,,
031a7384-d47f-4ae8-8f3a-ab0d7779a066,7a57dfdc-7075-487e-8974-3dfa23575253,1629309015351624740,-1.52439,-0.97561,-2.560976,-0.023743,-1.01178,-0.048401,6.896684417428219,71.6483339545344,,,,,
031a7384-d47f-4ae8-8f3a-ab0d7779a066,7a57dfdc-7075-487e-8974-3dfa23575253,1629309015356564740,-2.378049,-1.158537,-2.134146,-0.022644,-1.024414,-0.050659,6.89755745860441,71.22474489879659,,,,,
031a7384-d47f-4ae8-8f3a-ab0d7779a066,7a57dfdc-7075-487e-8974-3dfa23575253,1629309015361504740,-3.170732,-1.280488,-2.073171,-0.024658,-1.03302,-0.052856,6.89865579964237,70.79784819083034,,,,,
031a7384-d47f-4ae8-8f3a-ab0d7779a066,7a57dfdc-7075-487e-8974-3dfa23575253,1629309015366444740,-3.902439,-1.585366,-1.463415,-0.020081,-1.032776,-0.060974,6.897370976383371,70.36786438570294,,,,,
031a7384-d47f-4ae8-8f3a-ab0d7779a066,7a57dfdc-7075-487e-8974-3dfa23575253,1629309015371384740,-4.634146,-2.073171,-1.158537,-0.023438,-1.039856,-0.06012,6.8956398493435245,69.93491281306012,,,,,
031a7384-d47f-4ae8-8f3a-ab0d7779a066,7a57dfdc-7075-487e-8974-3dfa23575253,1629309015376324740,-5.243903,-2.5,-1.036585,-0.026978,-1.053162,-0.053589,6.893488577221376,69.49964180043588,,,,,
031a7384-d47f-4ae8-8f3a-ab0d7779a066,7a57dfdc-7075-487e-8974-3dfa23575253,1629309015381264740,-5.609756,-3.04878,-1.158537,-0.01886,-1.057068,-0.050903,6.8852897607112595,69.06314692239772,,,,,
031a7384-d47f-4ae8-8f3a-ab0d7779a066,7a57dfdc-7075-487e-8974-3dfa23575253,1629309015386204740,-5.914634,-3.597561,-1.097561,-0.020081,-1.055054,-0.051697,6.875214586135229,68.62579121147041,,,,,
031a7384-d47f-4ae8-8f3a-ab0d7779a066,7a57dfdc-7075-487e-8974-3dfa23575253,1629309015391144740,-6.097561,-4.146341,-1.097561,-0.019348,-1.047302,-0.046814,6.862448412129481,68.18820087899434,,,,,
031a7384-d47f-4ae8-8f3a-ab0d7779a066,7a57dfdc-7075-487e-8974-3dfa23575253,1629309015396084740,-6.097561,-4.878049,-1.280488,-0.019531,-1.047485,-0.047668,6.846134565528331,67.75125876809568,,,,,
031a7384-d47f-4ae8-8f3a-ab0d7779a066,7a57dfdc-7075-487e-8974-3dfa23575253,1629309015401024740,-5.792683,-5.609756,-1.52439,-0.017578,-1.05188,-0.048584,6.825271797054285,67.31645778559374,,,,,
031a7384-d47f-4ae8-8f3a-ab0d7779a066,7a57dfdc-7075-487e-8974-3dfa23575253,1629309015405964740,-5.487805,-6.097561,-1.646341,-0.01532,-1.046204,-0.048462,6.80116553148261,66.88380177793897,,,,,
031a7384-d47f-4ae8-8f3a-ab0d7779a066,7a57dfdc-7075-487e-8974-3dfa23575253,1629309015410904740,-5.182927,-6.768293,-1.463415,-0.017578,-1.033691,-0.045715,6.775521356670026,66.45332868868692,,,,,
031a7384-d47f-4ae8-8f3a-ab0d7779a066,7a57dfdc-7075-487e-8974-3dfa23575253,1629309015415844740,-4.634146,-7.134147,-0.97561,-0.016724,-1.02832,-0.048462,6.7490014545014105,66.02617898210318,,,,,
031a7384-d47f-4ae8-8f3a-ab0d7779a066,7a57dfdc-7075-487e-8974-3dfa23575253,1629309015420784740,-4.390244,-7.256098,-0.670732,-0.016785,-1.025879,-0.05304,6.722737698600355,65.60083988411424,,,,,
031a7384-d47f-4ae8-8f3a-ab0d7779a066,7a57dfdc-7075-487e-8974-3dfa23575253,1629309015425724740,-3.963415,-7.439024,0.121951,-0.018677,-1.02771,-0.054626,6.6982408232573505,65.17823627588606,,,,,
031a7384-d47f-4ae8-8f3a-ab0d7779a066,7a57dfdc-7075-487e-8974-3dfa23575253,1629309015430664740,-3.47561,-7.378049,0.792683,-0.017822,-1.029846,-0.054932,6.6752530958737,64.75866165435383,,,,,
031a7384-d47f-4ae8-8f3a-ab0d7779a066,7a57dfdc-7075-487e-8974-3dfa23575253,1629309015435604740,-3.109756,-7.134147,1.52439,-0.019775,-1.026001,-0.056396,6.655977877978387,64.3415191805756,,,,,
031a7384-d47f-4ae8-8f3a-ab0d7779a066,7a57dfdc-7075-487e-8974-3dfa23575253,1629309015440544740,-2.926829,-6.768293,2.5,-0.023071,-1.016968,-0.05603,6.642149949012804,63.92592768599877,,,,,
031a7384-d47f-4ae8-8f3a-ab0d7779a066,7a57dfdc-7075-487e-8974-3dfa23575253,1629309015445484740,-2.804878,-6.341464,3.780488,-0.029663,-1.013,-0.060425,6.636088998289864,63.511576808637045,,,,,
031a7384-d47f-4ae8-8f3a-ab0d7779a066,7a57dfdc-7075-487e-8974-3dfa23575253,1629309015450424740,-2.621951,-5.670732,5.121951,-0.036316,-1.025879,-0.059814,6.638897659707482,63.0988411694679,,,,,
031a7384-d47f-4ae8-8f3a-ab0d7779a066,7a57dfdc-7075-487e-8974-3dfa23575253,1629309015455364740,-2.012195,-4.756098,5.670732,-0.034912,-1.043823,-0.05719,6.646429790987156,62.689774508687805,,,,,
031a7384-d47f-4ae8-8f3a-ab0d7779a066,7a57dfdc-7075-487e-8974-3dfa23575253,1629309015460304740,-1.707317,-3.902439,6.158537,-0.03717,-1.060425,-0.052673,6.6598322490694954,62.28294272228209,,,,,
031a7384-d47f-4ae8-8f3a-ab0d7779a066,7a57dfdc-7075-487e-8974-3dfa23575253,1629309015465244740,-1.463415,-2.865854,6.890244,-0.04364,-1.075684,-0.048645,6.6821596955611255,61.87810335702673,,,,,
031a7384-d47f-4ae8-8f3a-ab0d7779a066,7a57dfdc-7075-487e-8974-3dfa23575253,1629309015470184740,-1.036585,-1.768293,7.621952,-0.047607,-1.083313,-0.047546,6.712694961992526,61.47610495534178,,,,,
031a7384-d47f-4ae8-8f3a-ab0d7779a066,7a57dfdc-7075-487e-8974-3dfa23575253,1629309015475124740,-0.731707,-0.792683,8.109756,-0.055237,-1.076965,-0.043701,6.752084959594612,61.076462234714825,,,,,
031a7384-d47f-4ae8-8f3a-ab0d7779a066,7a57dfdc-7075-487e-8974-3dfa23575253,1629309015480064740,-0.304878,0.121951,8.414635,-0.058777,-1.071777,-0.043579,6.797887283774685,60.67967584468357,,,,,
031a7384-d47f-4ae8-8f3a-ab0d7779a066,7a57dfdc-7075-487e-8974-3dfa23575253,1629309015485004740,0.304878,1.341463,8.536586,-0.065735,-1.06665,-0.044556,6.8523387964120275,60.28672223552516,,,,,
031a7384-d47f-4ae8-8f3a-ab0d7779a066,7a57dfdc-7075-487e-8974-3dfa23575253,1629309015489944740,0.853659,2.378049,8.597561,-0.07074,-1.058472,-0.040039,6.913828191935835,59.89733744009743,,,,,
031a7384-d47f-4ae8-8f3a-ab0d7779a066,7a57dfdc-7075-487e-8974-3dfa23575253,1629309015494884740,1.402439,3.414634,8.841464,-0.071594,-1.048523,-0.042847,6.980978895641357,59.51132274413652,,,,,
031a7384-d47f-4ae8-8f3a-ab0d7779a066,7a57dfdc-7075-487e-8974-3dfa23575253,1629309015499824740,1.463415,4.573171,8.902439,-0.07373,-1.045349,-0.044556,7.054175855893675,59.126304317869455,,,,,
